Lower Bound	Approximation	Operations
173	2.0346820809248554	352
182	2.0164835164835164	367
181	2.022099447513812	366
182	2.0	364
186	1.9731182795698925	367
186	2.021505376344086	376
182	2.0	364
185	2.0054054054054054	371
187	2.021390374331551	378
190	2.0105263157894737	382
191	2.005235602094241	383
190	2.0105263157894737	382
188	1.9946808510638299	375
190	2.031578947368421	386
179	2.005586592178771	359
189	1.9841269841269842	375
186	2.0	372
178	2.0112359550561796	358
185	2.0054054054054054	371
182	1.9835164835164836	361
186	2.0268817204301075	377
177	1.9830508474576272	351
184	2.027173913043478	373
180	2.011111111111111	362
185	1.9837837837837837	367
183	1.994535519125683	365
180	2.0055555555555555	361
192	2.0	384
183	2.0054644808743167	367
187	2.0	374
182	2.0164835164835164	367
188	2.00531914893617	377
182	1.9945054945054945	363
172	2.0174418604651163	347
185	2.027027027027027	375
192	2.03125	390
181	2.0	362
182	2.021978021978022	368
180	1.9944444444444445	359
181	2.0110497237569063	364
180	2.0166666666666666	363
184	2.0	368
179	2.011173184357542	360
183	2.0054644808743167	367
185	2.0	370
179	2.005586592178771	359
188	2.021276595744681	380
180	2.0055555555555555	361
182	2.0054945054945055	365
185	1.9945945945945946	369
180	2.011111111111111	362
189	2.0	378
184	2.005434782608696	369
179	2.022346368715084	362
180	2.0055555555555555	361
187	2.021390374331551	378
183	2.0163934426229506	369
180	1.988888888888889	358
185	2.0108108108108107	372
190	2.0210526315789474	384
179	2.022346368715084	362
182	2.0164835164835164	367
181	2.005524861878453	363
181	2.0	362
187	2.021390374331551	378
179	1.994413407821229	357
182	2.010989010989011	366
185	2.0054054054054054	371
186	2.0	372
183	2.010928961748634	368
184	1.9945652173913044	367
182	1.9945054945054945	363
186	2.0	372
185	1.9891891891891893	368
179	2.011173184357542	360
185	2.0108108108108107	372
188	2.015957446808511	379
183	2.0	366
186	2.0	372
182	1.9945054945054945	363
179	2.016759776536313	361
187	2.0	374
184	2.0	368
182	2.010989010989011	366
186	2.0	372
179	2.0	358
180	2.011111111111111	362
180	2.0	360
183	2.010928961748634	368
187	1.9839572192513368	371
175	1.9885714285714287	348
186	2.010752688172043	374
186	2.032258064516129	378
185	2.0	370
181	2.022099447513812	366
188	2.015957446808511	379
187	1.9946524064171123	373
181	2.016574585635359	365
186	2.0053763440860215	373
181	2.0331491712707184	368
186	2.032258064516129	378
183	2.010928961748634	368
187	2.0	374
182	2.0054945054945055	365
184	2.0	368
178	2.0	356
176	2.0113636363636362	354
187	2.0267379679144386	379
179	2.0	358
182	2.0164835164835164	367
180	2.011111111111111	362
184	1.9891304347826086	366
188	2.015957446808511	379
181	2.0110497237569063	364
183	1.994535519125683	365
175	2.0228571428571427	354
180	2.0277777777777777	365
185	2.0	370
186	2.0053763440860215	373
181	2.0	362
181	1.9834254143646408	359
190	2.0210526315789474	384
187	1.9893048128342246	372
184	2.0217391304347827	372
183	1.994535519125683	365
176	2.022727272727273	356
179	1.994413407821229	357
186	2.0161290322580645	375
183	2.021857923497268	370
180	1.988888888888889	358
179	2.0	358
182	2.0164835164835164	367
183	2.0163934426229506	369
185	2.0	370
186	2.010752688172043	374
186	2.032258064516129	378
189	2.0264550264550265	383
181	2.016574585635359	365
187	2.0053475935828877	375
180	1.9944444444444445	359
185	2.0	370
181	2.016574585635359	365
186	2.0053763440860215	373
189	2.0	378
178	2.0112359550561796	358
183	1.9836065573770492	363
180	2.022222222222222	364
182	2.0	364
179	2.016759776536313	361
187	2.0	374
185	2.0054054054054054	371
184	1.9945652173913044	367
189	2.0105820105820107	380
191	2.0157068062827226	385
186	2.0	372
185	2.0216216216216214	374
186	1.9731182795698925	367
188	2.00531914893617	377
184	1.983695652173913	365
181	2.022099447513812	366
179	2.0	358
177	2.022598870056497	358
183	1.989071038251366	364
177	2.0338983050847457	360
187	1.9893048128342246	372
181	2.0110497237569063	364
180	2.0055555555555555	361
188	1.9946808510638299	375
187	1.9839572192513368	371
183	2.0054644808743167	367
186	1.9946236559139785	371
180	1.9944444444444445	359
184	2.010869565217391	370
181	2.016574585635359	365
186	2.0053763440860215	373
186	2.021505376344086	376
176	2.0	352
187	2.021390374331551	378
181	2.027624309392265	367
191	2.0104712041884816	384
186	1.9946236559139785	371
185	1.9945945945945946	369
178	2.0224719101123596	360
192	1.9947916666666667	383
179	2.005586592178771	359
181	2.005524861878453	363
183	2.0163934426229506	369
185	2.0108108108108107	372
182	2.0054945054945055	365
182	2.0054945054945055	365
176	2.0	352
187	2.021390374331551	378
173	2.0173410404624277	349
183	1.989071038251366	364
187	1.9946524064171123	373
190	2.0052631578947366	381
191	1.9842931937172774	379
185	2.0108108108108107	372
181	2.016574585635359	365
182	2.0	364
181	1.9944751381215469	361
182	2.0054945054945055	365
183	2.0273224043715845	371
181	2.0	362
187	2.0053475935828877	375
184	1.9891304347826086	366
182	2.0164835164835164	367
181	1.9723756906077348	357
181	2.016574585635359	365
188	2.0372340425531914	383
183	2.0163934426229506	369
185	2.016216216216216	373
180	2.0055555555555555	361
179	2.0614525139664805	369
179	2.005586592178771	359
178	2.00561797752809	357
190	1.9789473684210526	376
183	2.010928961748634	368
186	2.010752688172043	374
183	1.994535519125683	365
178	1.9887640449438202	354
190	1.9894736842105263	378
185	2.0216216216216214	374
177	2.0112994350282487	356
180	2.0055555555555555	361
183	2.0163934426229506	369
187	1.9946524064171123	373
183	2.021857923497268	370
182	2.0164835164835164	367
186	2.0161290322580645	375
181	1.9944751381215469	361
181	2.0110497237569063	364
187	2.0	374
176	1.9943181818181819	351
181	2.0110497237569063	364
178	2.00561797752809	357
179	1.9720670391061452	353
181	1.9944751381215469	361
181	2.005524861878453	363
187	2.0053475935828877	375
185	1.9891891891891893	368
177	2.0112994350282487	356
181	2.0110497237569063	364
179	2.011173184357542	360
189	2.0105820105820107	380
181	2.0	362
182	2.010989010989011	366
183	2.0	366
179	2.0	358
183	1.994535519125683	365
186	2.010752688172043	374
180	2.022222222222222	364
184	2.005434782608696	369
190	2.026315789473684	385
183	2.010928961748634	368
186	2.032258064516129	378
184	2.010869565217391	370
186	1.989247311827957	370
185	2.0	370
190	2.0157894736842104	383
192	2.0052083333333335	385
185	2.0324324324324325	376
181	2.0331491712707184	368
179	1.994413407821229	357
185	2.0054054054054054	371
187	2.0053475935828877	375
191	1.9842931937172774	379
184	2.010869565217391	370
187	2.016042780748663	377
188	2.00531914893617	377
190	2.0157894736842104	383
183	2.0163934426229506	369
185	2.0108108108108107	372
183	2.021857923497268	370
188	2.0106382978723403	378
190	2.0157894736842104	383
185	2.027027027027027	375
180	2.0	360
182	2.0	364
184	2.027173913043478	373
184	2.005434782608696	369
183	2.0	366
177	2.0	354
180	1.988888888888889	358
188	2.021276595744681	380
184	2.010869565217391	370
187	2.0053475935828877	375
179	2.005586592178771	359
181	1.9944751381215469	361
185	1.9945945945945946	369
177	2.022598870056497	358
188	2.0	376
178	2.0168539325842696	359
188	2.021276595744681	380
190	1.9947368421052631	379
187	1.9732620320855614	369
177	2.016949152542373	357
181	1.9944751381215469	361
185	2.0108108108108107	372
176	2.0170454545454546	355
185	1.9945945945945946	369
176	1.9943181818181819	351
183	2.0163934426229506	369
187	2.0106951871657754	376
183	2.0054644808743167	367
190	1.9894736842105263	378
186	1.9946236559139785	371
188	1.9893617021276595	374
177	2.0112994350282487	356
179	2.016759776536313	361
181	1.9944751381215469	361
186	2.0161290322580645	375
181	2.016574585635359	365
182	2.0274725274725274	369
186	2.032258064516129	378
183	2.010928961748634	368
188	2.0106382978723403	378
184	2.0	368
186	2.021505376344086	376
190	2.0210526315789474	384
186	2.0053763440860215	373
187	1.9839572192513368	371
185	2.0054054054054054	371
186	1.978494623655914	368
189	1.9841269841269842	375
184	2.016304347826087	371
189	2.037037037037037	385
188	2.0106382978723403	378
182	1.9945054945054945	363
182	2.0164835164835164	367
187	1.9946524064171123	373
185	2.0216216216216214	374
188	2.0106382978723403	378
188	2.021276595744681	380
179	2.005586592178771	359
189	2.005291005291005	379
189	1.9947089947089947	377
186	2.0268817204301075	377
185	2.0	370
182	2.0384615384615383	371
188	2.015957446808511	379
192	2.0052083333333335	385
181	2.0110497237569063	364
183	2.0054644808743167	367
175	2.0171428571428573	353
186	2.0053763440860215	373
183	1.989071038251366	364
186	1.9946236559139785	371
180	2.0	360
183	2.0163934426229506	369
185	2.0	370
185	2.0	370
184	2.0380434782608696	375
185	2.016216216216216	373
183	2.0163934426229506	369
188	1.9893617021276595	374
185	2.0	370
188	2.015957446808511	379
185	2.0108108108108107	372
189	1.9947089947089947	377
173	2.0115606936416186	348
179	1.9776536312849162	354
182	2.0274725274725274	369
186	2.0161290322580645	375
185	2.016216216216216	373
191	1.9947643979057592	381
186	1.989247311827957	370
180	2.022222222222222	364
188	2.021276595744681	380
182	2.010989010989011	366
183	2.010928961748634	368
181	2.022099447513812	366
182	1.9945054945054945	363
184	1.9945652173913044	367
186	2.010752688172043	374
180	2.0277777777777777	365
189	2.0	378
181	2.0110497237569063	364
192	2.0208333333333335	388
189	2.0	378
181	2.0	362
186	2.0053763440860215	373
175	2.0171428571428573	353
190	2.0	380
185	2.0	370
184	2.010869565217391	370
181	2.0110497237569063	364
186	2.0053763440860215	373
184	2.016304347826087	371
187	2.0053475935828877	375
186	2.010752688172043	374
190	2.0210526315789474	384
182	1.989010989010989	362
187	2.0106951871657754	376
186	2.010752688172043	374
182	2.0	364
183	2.0163934426229506	369
180	2.0277777777777777	365
176	2.0113636363636362	354
186	2.010752688172043	374
190	2.0052631578947366	381
190	2.0	380
184	2.027173913043478	373
184	2.0380434782608696	375
183	2.0	366
180	2.0	360
191	2.020942408376963	386
178	2.0112359550561796	358
180	2.0	360
190	2.0105263157894737	382
184	1.9945652173913044	367
181	2.027624309392265	367
187	2.0	374
186	1.989247311827957	370
190	2.031578947368421	386
193	2.0155440414507773	389
183	2.010928961748634	368
182	2.0054945054945055	365
191	2.0	382
185	2.0216216216216214	374
180	1.9944444444444445	359
187	2.021390374331551	378
185	2.016216216216216	373
180	2.022222222222222	364
175	2.0171428571428573	353
194	2.015463917525773	391
186	2.0161290322580645	375
180	2.022222222222222	364
178	2.00561797752809	357
187	2.0053475935828877	375
187	2.0106951871657754	376
186	2.021505376344086	376
188	2.0106382978723403	378
189	2.0	378
187	2.021390374331551	378
185	2.0	370
185	1.9783783783783784	366
184	1.9891304347826086	366
182	2.0	364
183	2.010928961748634	368
181	2.0110497237569063	364
177	2.016949152542373	357
185	1.9837837837837837	367
181	2.005524861878453	363
180	2.0	360
186	1.9946236559139785	371
178	2.00561797752809	357
184	2.016304347826087	371
179	2.005586592178771	359
187	2.0053475935828877	375
182	2.0164835164835164	367
187	2.016042780748663	377
177	2.005649717514124	355
185	2.0	370
185	2.0216216216216214	374
189	2.015873015873016	381
179	2.011173184357542	360
185	1.9945945945945946	369
185	2.0	370
180	2.0277777777777777	365
189	1.9947089947089947	377
183	2.0163934426229506	369
177	2.016949152542373	357
186	2.0376344086021505	379
181	2.016574585635359	365
180	2.0	360
185	2.0108108108108107	372
184	1.9945652173913044	367
186	2.021505376344086	376
178	2.00561797752809	357
182	2.0	364
181	1.9944751381215469	361
180	1.9944444444444445	359
189	2.0211640211640214	382
191	1.9947643979057592	381
179	2.005586592178771	359
178	2.0280898876404496	361
179	2.0279329608938546	363
181	1.9944751381215469	361
179	2.016759776536313	361
182	2.0	364
187	2.021390374331551	378
189	2.015873015873016	381
188	2.0106382978723403	378
184	1.9945652173913044	367
186	1.9946236559139785	371
196	2.020408163265306	396
184	1.983695652173913	365
182	2.0274725274725274	369
185	2.0	370
183	2.021857923497268	370
177	2.005649717514124	355
184	2.027173913043478	373
182	2.0164835164835164	367
191	2.0	382
184	2.016304347826087	371
186	2.0161290322580645	375
182	2.0	364
182	1.9945054945054945	363
189	1.9947089947089947	377
193	2.0207253886010363	390
180	2.011111111111111	362
179	2.011173184357542	360
189	2.005291005291005	379
185	2.027027027027027	375
182	1.9835164835164836	361
183	2.0054644808743167	367
185	2.0054054054054054	371
180	2.0	360
184	2.010869565217391	370
183	2.0163934426229506	369
185	2.027027027027027	375
183	2.0163934426229506	369
178	2.0112359550561796	358
177	1.9887005649717515	352
185	2.016216216216216	373
187	1.9893048128342246	372
187	2.016042780748663	377
174	2.0172413793103448	351
185	2.027027027027027	375
184	2.005434782608696	369
186	2.0161290322580645	375
189	2.037037037037037	385
178	2.0112359550561796	358
185	1.9837837837837837	367
183	2.010928961748634	368
183	2.0	366
186	1.978494623655914	368
186	2.0	372
184	2.016304347826087	371
182	2.0054945054945055	365
180	2.011111111111111	362
185	2.0	370
182	2.0054945054945055	365
177	2.022598870056497	358
181	2.0	362
188	1.9627659574468086	369
184	1.9891304347826086	366
181	2.0110497237569063	364
178	2.0224719101123596	360
189	2.0264550264550265	383
178	1.9943820224719102	355
180	2.0055555555555555	361
184	2.0	368
183	2.0	366
187	2.0053475935828877	375
188	2.0	376
182	2.010989010989011	366
184	2.010869565217391	370
187	2.021390374331551	378
190	2.0157894736842104	383
186	1.9946236559139785	371
179	2.022346368715084	362
182	2.0274725274725274	369
184	2.0380434782608696	375
184	2.010869565217391	370
183	2.0327868852459017	372
179	2.0	358
179	2.011173184357542	360
182	2.0054945054945055	365
189	2.0105820105820107	380
178	2.0280898876404496	361
179	1.994413407821229	357
175	2.0	350
174	2.0229885057471266	352
183	2.0054644808743167	367
192	2.0364583333333335	391
182	1.9945054945054945	363
189	2.005291005291005	379
188	2.021276595744681	380
185	2.0054054054054054	371
180	2.011111111111111	362
184	2.005434782608696	369
184	2.016304347826087	371
183	2.010928961748634	368
192	1.9947916666666667	383
187	1.9946524064171123	373
178	1.9943820224719102	355
187	2.0	374
180	2.0055555555555555	361
181	2.027624309392265	367
183	2.0054644808743167	367
185	1.9945945945945946	369
180	2.0055555555555555	361
193	2.0207253886010363	390
181	2.022099447513812	366
178	2.0224719101123596	360
181	1.988950276243094	360
187	1.9946524064171123	373
186	1.9946236559139785	371
184	2.005434782608696	369
188	1.9787234042553192	372
192	2.0260416666666665	389
185	1.9945945945945946	369
183	2.010928961748634	368
181	2.016574585635359	365
191	2.0157068062827226	385
180	2.022222222222222	364
182	1.9835164835164836	361
184	2.016304347826087	371
183	2.0054644808743167	367
182	2.0	364
180	2.0166666666666666	363
188	1.9893617021276595	374
183	1.989071038251366	364
186	2.0053763440860215	373
185	2.0	370
188	2.00531914893617	377
183	2.0	366
181	2.016574585635359	365
182	2.021978021978022	368
179	2.016759776536313	361
183	2.0163934426229506	369
181	2.0110497237569063	364
171	2.0233918128654973	346
182	2.0274725274725274	369
180	2.0166666666666666	363
186	2.0053763440860215	373
188	2.015957446808511	379
177	2.0282485875706215	359
186	2.0268817204301075	377
188	2.0319148936170213	382
189	1.9947089947089947	377
