Lower Bound	Approximation	Operations
166	1.9457831325301205	323
164	1.9329268292682926	317
166	1.9457831325301205	323
162	1.9691358024691359	319
163	1.9631901840490797	320
160	1.95625	313
169	1.9289940828402368	326
162	1.9567901234567902	317
162	1.9691358024691359	319
155	1.9741935483870967	306
161	1.9875776397515528	320
156	1.9102564102564104	298
156	1.955128205128205	305
164	1.9817073170731707	325
157	1.9872611464968153	312
156	1.935897435897436	302
163	1.9141104294478528	312
155	1.9806451612903226	307
164	1.9390243902439024	318
156	1.9743589743589745	308
162	1.9876543209876543	322
164	1.9390243902439024	318
160	1.94375	311
158	1.9556962025316456	309
156	1.9679487179487178	307
158	1.9303797468354431	305
160	1.925	308
160	1.925	308
169	1.970414201183432	333
153	1.9607843137254901	300
155	1.935483870967742	300
154	1.9025974025974026	293
161	1.9937888198757765	321
158	1.9493670886075949	308
156	1.9423076923076923	303
166	1.9457831325301205	323
161	1.9565217391304348	315
164	1.9390243902439024	318
167	1.9461077844311376	325
155	1.9483870967741936	302
157	1.9554140127388535	307
158	1.9177215189873418	303
160	1.9625	314
159	1.9371069182389937	308
165	1.9212121212121211	317
159	1.9433962264150944	309
160	1.95625	313
163	2.0	326
159	1.9056603773584906	303
161	1.9006211180124224	306
160	1.95625	313
160	1.9625	314
157	1.929936305732484	303
156	1.935897435897436	302
164	1.9146341463414633	314
155	1.9935483870967743	309
163	1.98159509202454	323
158	1.9873417721518987	314
164	1.9878048780487805	326
152	1.9342105263157894	294
159	1.9811320754716981	315
164	1.9268292682926829	316
163	1.9447852760736197	317
154	1.9545454545454546	301
159	1.9371069182389937	308
162	1.962962962962963	318
160	1.94375	311
155	1.961290322580645	304
160	1.96875	315
158	1.9556962025316456	309
161	1.9627329192546583	316
153	1.9803921568627452	303
159	1.949685534591195	310
168	1.9464285714285714	327
159	1.9559748427672956	311
161	1.9565217391304348	315
156	1.9679487179487178	307
163	1.9570552147239264	319
156	2.0128205128205128	314
154	1.9545454545454546	301
161	1.9192546583850931	309
165	1.9757575757575758	326
164	1.9390243902439024	318
163	2.0061349693251533	327
158	1.9556962025316456	309
161	1.9751552795031055	318
162	1.9382716049382716	314
158	1.9620253164556962	310
156	1.9102564102564104	298
157	1.929936305732484	303
158	1.9873417721518987	314
162	1.9567901234567902	317
161	1.9751552795031055	318
161	1.950310559006211	314
161	1.937888198757764	312
159	1.9559748427672956	311
155	1.967741935483871	305
160	1.9625	314
160	1.94375	311
152	1.9605263157894737	298
158	1.879746835443038	297
161	1.9440993788819876	313
166	1.9698795180722892	327
158	1.9683544303797469	311
164	1.975609756097561	324
159	1.9559748427672956	311
156	1.9807692307692308	309
159	1.9622641509433962	312
162	1.9567901234567902	317
158	1.9683544303797469	311
162	1.9567901234567902	317
151	1.9470198675496688	294
156	1.935897435897436	302
163	1.9141104294478528	312
154	1.9610389610389611	302
157	1.980891719745223	311
155	1.967741935483871	305
165	1.9212121212121211	317
160	1.96875	315
158	1.9873417721518987	314
169	1.9763313609467457	334
156	1.9102564102564104	298
165	1.9393939393939394	320
155	1.967741935483871	305
162	1.9814814814814814	321
167	1.9161676646706587	320
154	1.948051948051948	300
158	1.9493670886075949	308
151	1.9536423841059603	295
159	1.9371069182389937	308
160	1.95625	313
161	1.937888198757764	312
161	1.9316770186335404	311
163	1.9447852760736197	317
165	1.915151515151515	316
158	1.9683544303797469	311
159	1.9559748427672956	311
165	1.9757575757575758	326
157	1.9490445859872612	306
162	1.9259259259259258	312
165	1.9090909090909092	315
166	1.9698795180722892	327
164	1.9268292682926829	316
161	1.9565217391304348	315
156	1.9166666666666667	299
161	1.9813664596273293	319
163	1.950920245398773	318
151	1.9536423841059603	295
161	1.9254658385093169	310
151	1.9470198675496688	294
161	1.968944099378882	317
161	1.950310559006211	314
169	1.9644970414201184	332
162	1.9197530864197532	311
160	1.9625	314
163	1.9754601226993864	322
159	1.9811320754716981	315
155	1.903225806451613	295
149	1.9463087248322148	290
162	1.962962962962963	318
160	1.95	312
161	1.9440993788819876	313
157	1.9171974522292994	301
157	1.9426751592356688	305
160	1.925	308
158	1.9620253164556962	310
165	1.9878787878787878	328
154	1.974025974025974	304
157	1.929936305732484	303
151	1.9470198675496688	294
157	1.9490445859872612	306
157	1.910828025477707	300
157	1.9363057324840764	304
163	1.9447852760736197	317
163	1.901840490797546	310
155	1.9741935483870967	306
158	1.9683544303797469	311
157	1.9426751592356688	305
167	1.9580838323353293	327
165	1.9212121212121211	317
162	1.9506172839506173	316
163	1.950920245398773	318
164	1.9268292682926829	316
165	1.9393939393939394	320
160	1.975	316
163	1.9263803680981595	314
164	1.9634146341463414	322
154	1.922077922077922	296
165	1.9393939393939394	320
161	1.9875776397515528	320
160	1.95625	313
161	1.9254658385093169	310
163	1.9631901840490797	320
155	1.9741935483870967	306
151	1.9602649006622517	296
149	1.9664429530201342	293
161	1.9813664596273293	319
161	1.9006211180124224	306
159	1.9685534591194969	313
161	1.9440993788819876	313
163	1.9202453987730062	313
157	1.9936305732484076	313
158	1.8924050632911393	299
158	1.9556962025316456	309
161	2.012422360248447	324
163	1.969325153374233	321
154	1.9545454545454546	301
163	1.969325153374233	321
163	1.950920245398773	318
157	1.9745222929936306	310
