Lower Bound	Approximation	Operations
90	3.033333333333333	273
90	3.0	270
94	3.0319148936170213	285
88	3.0568181818181817	269
91	3.0549450549450547	278
92	3.0217391304347827	278
91	3.043956043956044	277
92	3.0217391304347827	278
93	3.010752688172043	280
91	3.0	273
92	3.0434782608695654	280
92	2.967391304347826	273
91	3.021978021978022	275
90	3.011111111111111	271
91	2.978021978021978	271
93	3.0	279
91	3.021978021978022	275
89	3.033707865168539	270
91	3.0	273
88	3.022727272727273	266
87	3.0	261
86	3.011627906976744	259
89	2.932584269662921	261
92	3.010869565217391	277
92	2.9565217391304346	272
88	3.034090909090909	267
93	3.032258064516129	282
96	2.9895833333333335	287
87	3.0344827586206895	264
91	3.021978021978022	275
90	3.0	270
90	3.011111111111111	271
90	3.033333333333333	273
86	3.0348837209302326	261
88	3.022727272727273	266
94	3.0531914893617023	287
89	3.056179775280899	272
90	3.0	270
89	3.033707865168539	270
85	3.011764705882353	256
93	3.010752688172043	280
93	3.032258064516129	282
88	3.0113636363636362	265
91	3.010989010989011	274
89	3.044943820224719	271
87	3.0114942528735633	262
88	3.022727272727273	266
88	3.0	264
91	3.0549450549450547	278
88	3.0113636363636362	265
90	3.0444444444444443	274
90	3.011111111111111	271
90	3.011111111111111	271
87	3.0114942528735633	262
88	3.0454545454545454	268
86	3.0232558139534884	260
90	3.011111111111111	271
92	3.0217391304347827	278
94	3.0	282
92	3.0543478260869565	281
87	3.0114942528735633	262
91	3.010989010989011	274
87	3.0229885057471266	263
83	3.0240963855421685	251
93	3.021505376344086	281
92	3.0434782608695654	280
89	2.9775280898876404	265
91	3.021978021978022	275
92	3.032608695652174	279
94	2.9893617021276597	281
89	3.044943820224719	271
91	3.021978021978022	275
89	2.9887640449438204	266
94	3.0319148936170213	285
90	3.0	270
93	3.021505376344086	281
87	3.0344827586206895	264
90	3.011111111111111	271
89	3.0112359550561796	268
90	3.033333333333333	273
92	3.0217391304347827	278
94	3.0425531914893615	286
86	3.0232558139534884	260
87	3.0804597701149423	268
88	3.0681818181818183	270
91	3.010989010989011	274
92	3.010869565217391	277
93	3.032258064516129	282
93	3.010752688172043	280
86	3.0232558139534884	260
89	2.9775280898876404	265
91	3.032967032967033	276
90	3.0444444444444443	274
89	3.044943820224719	271
91	3.010989010989011	274
89	3.033707865168539	270
88	3.022727272727273	266
91	3.032967032967033	276
90	2.9555555555555557	266
92	3.0652173913043477	282
94	3.0319148936170213	285
92	3.0434782608695654	280
89	3.044943820224719	271
93	3.0	279
91	3.0549450549450547	278
89	3.0112359550561796	268
90	3.0	270
92	2.9782608695652173	274
85	3.0823529411764707	262
91	3.032967032967033	276
88	3.0	264
87	3.0229885057471266	263
92	3.0	276
90	3.0	270
88	3.034090909090909	267
89	2.9887640449438204	266
89	3.0	267
90	3.022222222222222	272
90	2.988888888888889	269
90	2.988888888888889	269
90	3.0444444444444443	274
87	3.045977011494253	265
91	2.989010989010989	272
93	3.010752688172043	280
89	3.0224719101123596	269
89	3.0786516853932584	274
94	3.0425531914893615	286
92	3.0217391304347827	278
91	3.087912087912088	281
90	3.0555555555555554	275
92	3.0217391304347827	278
90	3.011111111111111	271
91	3.0	273
90	3.022222222222222	272
89	2.9887640449438204	266
92	3.0217391304347827	278
91	3.021978021978022	275
95	3.031578947368421	288
92	3.032608695652174	279
91	3.021978021978022	275
91	3.032967032967033	276
91	3.010989010989011	274
88	3.0	264
92	2.9782608695652173	274
87	3.0229885057471266	263
91	3.0549450549450547	278
91	3.043956043956044	277
89	3.0	267
89	3.044943820224719	271
86	3.0232558139534884	260
90	3.022222222222222	272
90	3.033333333333333	273
86	3.011627906976744	259
91	3.0549450549450547	278
87	3.0344827586206895	264
90	3.0	270
90	3.0444444444444443	274
89	3.0224719101123596	269
88	2.9886363636363638	263
89	3.044943820224719	271
92	3.0434782608695654	280
89	3.0112359550561796	268
91	3.0	273
90	3.0	270
93	3.010752688172043	280
93	3.075268817204301	286
86	2.988372093023256	257
90	3.0	270
88	3.0113636363636362	265
89	3.0224719101123596	269
89	3.0224719101123596	269
91	3.021978021978022	275
89	3.033707865168539	270
91	3.010989010989011	274
89	3.056179775280899	272
89	3.0224719101123596	269
95	3.0	285
87	3.057471264367816	266
88	2.9886363636363638	263
91	3.010989010989011	274
90	3.033333333333333	273
91	3.021978021978022	275
93	3.032258064516129	282
89	3.033707865168539	270
87	3.0229885057471266	263
89	3.033707865168539	270
89	2.9887640449438204	266
87	3.0344827586206895	264
91	3.0	273
86	3.0348837209302326	261
89	3.0224719101123596	269
91	3.010989010989011	274
91	3.043956043956044	277
88	3.0568181818181817	269
94	3.021276595744681	284
88	3.022727272727273	266
92	3.0	276
87	3.0344827586206895	264
89	3.0224719101123596	269
95	3.0210526315789474	287
89	3.044943820224719	271
89	3.0224719101123596	269
88	2.9886363636363638	263
89	3.033707865168539	270
89	3.033707865168539	270
93	3.032258064516129	282
93	2.956989247311828	275
90	2.966666666666667	267
91	3.010989010989011	274
89	3.033707865168539	270
89	3.0112359550561796	268
89	3.056179775280899	272
90	3.011111111111111	271
89	3.044943820224719	271
86	3.0813953488372094	265
89	3.0224719101123596	269
90	2.966666666666667	267
89	2.9775280898876404	265
92	3.010869565217391	277
92	2.989130434782609	275
93	3.032258064516129	282
88	3.0	264
88	2.9886363636363638	263
91	2.978021978021978	271
89	3.0	267
89	3.0224719101123596	269
89	3.0224719101123596	269
89	2.9775280898876404	265
92	3.0217391304347827	278
87	3.0114942528735633	262
94	3.0425531914893615	286
91	3.010989010989011	274
93	3.043010752688172	283
91	3.065934065934066	279
92	3.0217391304347827	278
90	3.0555555555555554	275
93	3.032258064516129	282
93	3.010752688172043	280
92	2.989130434782609	275
86	2.988372093023256	257
88	3.0113636363636362	265
94	2.9893617021276597	281
91	3.076923076923077	280
91	3.032967032967033	276
90	3.022222222222222	272
89	3.0112359550561796	268
93	3.010752688172043	280
95	3.0105263157894737	286
94	3.0106382978723403	283
90	3.011111111111111	271
87	3.0344827586206895	264
90	3.033333333333333	273
91	3.065934065934066	279
89	3.033707865168539	270
92	3.108695652173913	286
88	3.022727272727273	266
86	3.046511627906977	262
89	3.0	267
89	3.0224719101123596	269
88	3.0	264
92	2.967391304347826	273
91	3.032967032967033	276
89	2.9887640449438204	266
92	3.010869565217391	277
90	3.0	270
89	3.0112359550561796	268
92	3.0217391304347827	278
91	3.0549450549450547	278
92	3.0217391304347827	278
89	3.033707865168539	270
87	3.0	261
88	3.022727272727273	266
90	3.022222222222222	272
91	3.021978021978022	275
91	2.978021978021978	271
89	3.033707865168539	270
90	3.0444444444444443	274
93	3.064516129032258	285
91	3.032967032967033	276
91	3.043956043956044	277
90	3.0444444444444443	274
90	3.022222222222222	272
89	3.056179775280899	272
88	2.9886363636363638	263
87	2.9885057471264367	260
90	2.988888888888889	269
87	2.9770114942528734	259
87	3.0344827586206895	264
92	3.0217391304347827	278
92	3.032608695652174	279
92	3.032608695652174	279
89	3.0112359550561796	268
84	2.988095238095238	251
90	3.077777777777778	277
93	2.978494623655914	277
86	3.0348837209302326	261
92	3.0434782608695654	280
91	2.978021978021978	271
87	3.0229885057471266	263
90	3.033333333333333	273
92	3.0760869565217392	283
93	3.010752688172043	280
90	3.0555555555555554	275
87	3.0	261
89	3.033707865168539	270
89	3.0112359550561796	268
90	3.0444444444444443	274
91	3.0	273
88	3.022727272727273	266
92	3.0217391304347827	278
90	3.011111111111111	271
85	3.0	255
87	3.0689655172413794	267
92	3.0	276
85	3.0352941176470587	258
92	3.0	276
91	3.0	273
90	3.0444444444444443	274
89	3.033707865168539	270
89	3.033707865168539	270
87	3.0804597701149423	268
89	3.0	267
91	3.010989010989011	274
91	3.010989010989011	274
88	3.034090909090909	267
90	3.022222222222222	272
87	3.057471264367816	266
91	3.021978021978022	275
92	3.0	276
88	3.0	264
90	3.0	270
90	3.0555555555555554	275
91	2.989010989010989	272
91	3.0	273
89	3.0	267
89	3.0	267
88	3.034090909090909	267
90	2.988888888888889	269
85	3.011764705882353	256
90	3.0	270
89	3.0	267
87	2.9885057471264367	260
95	3.0	285
90	2.988888888888889	269
92	3.0652173913043477	282
93	3.032258064516129	282
92	3.0	276
90	3.011111111111111	271
89	3.0224719101123596	269
88	3.0	264
91	3.043956043956044	277
94	3.0319148936170213	285
93	3.032258064516129	282
90	2.9555555555555557	266
90	3.011111111111111	271
91	3.032967032967033	276
92	3.0217391304347827	278
86	2.988372093023256	257
88	3.0568181818181817	269
92	3.010869565217391	277
91	3.010989010989011	274
90	3.011111111111111	271
94	3.0319148936170213	285
86	3.011627906976744	259
85	3.0470588235294116	259
90	3.022222222222222	272
89	3.033707865168539	270
87	3.0114942528735633	262
89	3.0112359550561796	268
91	2.989010989010989	272
91	3.032967032967033	276
91	2.989010989010989	272
92	3.032608695652174	279
85	3.0588235294117645	260
89	3.044943820224719	271
84	3.0476190476190474	256
87	3.0	261
88	3.022727272727273	266
90	2.988888888888889	269
95	2.9894736842105263	284
88	3.0	264
91	3.021978021978022	275
90	3.022222222222222	272
86	3.0	258
87	2.9885057471264367	260
90	3.0444444444444443	274
90	2.988888888888889	269
91	3.032967032967033	276
94	3.0425531914893615	286
89	3.0112359550561796	268
89	3.0224719101123596	269
89	3.0112359550561796	268
93	3.032258064516129	282
92	2.989130434782609	275
92	3.032608695652174	279
95	3.0631578947368423	291
92	3.0	276
90	3.0444444444444443	274
93	3.021505376344086	281
88	3.0681818181818183	270
85	2.988235294117647	254
89	3.033707865168539	270
89	3.0112359550561796	268
88	3.0113636363636362	265
89	3.067415730337079	273
87	2.9770114942528734	259
87	3.045977011494253	265
90	3.0	270
85	3.011764705882353	256
92	3.0217391304347827	278
89	3.056179775280899	272
92	2.989130434782609	275
93	3.010752688172043	280
90	3.0	270
90	3.011111111111111	271
91	3.0549450549450547	278
88	3.0454545454545454	268
94	3.0	282
93	3.021505376344086	281
89	3.044943820224719	271
88	3.0568181818181817	269
92	3.0217391304347827	278
89	3.0112359550561796	268
90	2.966666666666667	267
91	3.021978021978022	275
94	3.0106382978723403	283
92	3.010869565217391	277
86	3.046511627906977	262
94	3.021276595744681	284
91	3.065934065934066	279
91	3.043956043956044	277
92	3.0217391304347827	278
89	3.0	267
88	3.0681818181818183	270
92	3.010869565217391	277
88	3.0	264
89	3.044943820224719	271
92	3.0434782608695654	280
89	3.0224719101123596	269
86	3.011627906976744	259
92	3.0434782608695654	280
89	3.044943820224719	271
88	2.965909090909091	261
91	3.032967032967033	276
91	2.989010989010989	272
90	3.0	270
88	3.0	264
91	2.989010989010989	272
87	3.0229885057471266	263
90	2.977777777777778	268
91	3.0	273
93	3.032258064516129	282
88	3.0113636363636362	265
89	2.9887640449438204	266
90	3.022222222222222	272
92	3.032608695652174	279
89	3.033707865168539	270
92	3.032608695652174	279
91	3.043956043956044	277
85	3.0	255
89	3.056179775280899	272
88	3.0454545454545454	268
90	3.0	270
89	3.033707865168539	270
88	3.022727272727273	266
89	3.056179775280899	272
94	3.0	282
94	2.9893617021276597	281
89	3.0224719101123596	269
93	3.032258064516129	282
90	3.011111111111111	271
91	2.978021978021978	271
91	3.010989010989011	274
90	3.0	270
89	3.0224719101123596	269
91	3.043956043956044	277
91	3.043956043956044	277
94	3.0638297872340425	288
90	3.033333333333333	273
89	3.0112359550561796	268
84	3.0238095238095237	254
87	3.0344827586206895	264
90	3.033333333333333	273
88	3.0113636363636362	265
91	3.032967032967033	276
92	3.0	276
93	3.032258064516129	282
91	3.032967032967033	276
85	3.0470588235294116	259
94	3.0425531914893615	286
87	3.0344827586206895	264
85	3.0	255
87	3.0114942528735633	262
87	3.045977011494253	265
86	3.011627906976744	259
91	2.989010989010989	272
87	3.0114942528735633	262
87	3.0114942528735633	262
90	3.022222222222222	272
91	3.021978021978022	275
89	3.0112359550561796	268
85	3.0470588235294116	259
89	3.044943820224719	271
93	3.021505376344086	281
90	3.033333333333333	273
90	3.011111111111111	271
89	3.0112359550561796	268
91	2.989010989010989	272
90	3.033333333333333	273
90	3.022222222222222	272
88	3.0568181818181817	269
92	3.0652173913043477	282
93	3.0	279
89	3.0112359550561796	268
88	3.0454545454545454	268
89	3.0	267
93	3.010752688172043	280
93	3.021505376344086	281
89	2.9887640449438204	266
94	3.021276595744681	284
87	3.045977011494253	265
90	3.0	270
89	2.9775280898876404	265
93	3.0	279
93	3.032258064516129	282
88	2.977272727272727	262
89	3.044943820224719	271
92	3.0217391304347827	278
90	2.977777777777778	268
91	2.989010989010989	272
87	3.057471264367816	266
87	3.0	261
90	3.066666666666667	276
91	3.032967032967033	276
91	3.032967032967033	276
90	2.988888888888889	269
88	3.0454545454545454	268
91	3.021978021978022	275
90	3.022222222222222	272
90	2.988888888888889	269
89	3.0	267
89	2.9887640449438204	266
94	3.021276595744681	284
89	2.9775280898876404	265
91	3.021978021978022	275
91	3.021978021978022	275
89	3.033707865168539	270
91	3.021978021978022	275
92	3.0217391304347827	278
91	3.0549450549450547	278
92	3.0	276
89	3.0224719101123596	269
92	3.032608695652174	279
89	3.033707865168539	270
89	3.0	267
91	3.021978021978022	275
90	3.066666666666667	276
88	2.977272727272727	262
88	3.0113636363636362	265
91	3.021978021978022	275
88	3.0113636363636362	265
90	2.977777777777778	268
92	2.989130434782609	275
91	3.010989010989011	274
88	3.0113636363636362	265
91	3.043956043956044	277
91	2.978021978021978	271
91	3.076923076923077	280
90	3.0	270
89	3.0	267
88	3.0568181818181817	269
94	3.0319148936170213	285
91	3.021978021978022	275
90	3.033333333333333	273
89	3.0112359550561796	268
93	3.043010752688172	283
90	3.033333333333333	273
90	3.022222222222222	272
87	3.0804597701149423	268
91	2.989010989010989	272
92	3.010869565217391	277
90	3.022222222222222	272
90	2.977777777777778	268
89	3.044943820224719	271
90	2.988888888888889	269
92	2.9782608695652173	274
85	3.023529411764706	257
92	3.032608695652174	279
89	3.0112359550561796	268
91	3.0	273
87	3.0	261
86	3.046511627906977	262
90	3.022222222222222	272
88	3.022727272727273	266
90	3.011111111111111	271
92	3.0760869565217392	283
91	3.032967032967033	276
93	3.032258064516129	282
92	3.0434782608695654	280
90	3.033333333333333	273
91	2.989010989010989	272
89	3.0112359550561796	268
92	3.010869565217391	277
92	3.010869565217391	277
89	2.966292134831461	264
88	3.0	264
89	3.0	267
90	3.011111111111111	271
90	3.033333333333333	273
90	3.0	270
94	3.0425531914893615	286
90	3.0	270
88	3.0	264
90	3.0555555555555554	275
88	3.034090909090909	267
92	3.032608695652174	279
91	3.021978021978022	275
93	3.021505376344086	281
93	3.096774193548387	288
90	3.0	270
93	3.032258064516129	282
88	3.0113636363636362	265
87	3.0114942528735633	262
91	3.010989010989011	274
90	3.022222222222222	272
92	2.989130434782609	275
93	3.0	279
90	3.0444444444444443	274
88	3.034090909090909	267
90	3.066666666666667	276
88	3.0454545454545454	268
88	3.0454545454545454	268
88	3.022727272727273	266
88	3.0454545454545454	268
89	2.9887640449438204	266
89	3.033707865168539	270
89	3.033707865168539	270
93	3.032258064516129	282
90	2.988888888888889	269
91	3.010989010989011	274
89	3.0	267
88	3.034090909090909	267
93	3.053763440860215	284
89	3.044943820224719	271
86	3.0232558139534884	260
92	3.032608695652174	279
88	3.0113636363636362	265
90	3.011111111111111	271
91	3.010989010989011	274
92	3.0217391304347827	278
91	3.021978021978022	275
87	3.057471264367816	266
91	3.032967032967033	276
89	3.101123595505618	276
88	3.0454545454545454	268
90	3.011111111111111	271
90	3.011111111111111	271
86	3.011627906976744	259
90	3.0555555555555554	275
91	3.021978021978022	275
89	3.0224719101123596	269
93	3.021505376344086	281
91	3.043956043956044	277
91	3.032967032967033	276
91	2.989010989010989	272
93	3.010752688172043	280
88	2.9886363636363638	263
91	3.021978021978022	275
88	3.0113636363636362	265
93	3.0	279
91	3.0	273
89	3.0112359550561796	268
91	3.043956043956044	277
89	3.0224719101123596	269
91	3.0	273
89	3.033707865168539	270
90	3.022222222222222	272
87	3.045977011494253	265
93	2.989247311827957	278
93	3.021505376344086	281
96	2.9791666666666665	286
93	3.010752688172043	280
90	3.0555555555555554	275
93	3.021505376344086	281
89	3.056179775280899	272
87	3.0804597701149423	268
88	3.034090909090909	267
89	3.0786516853932584	274
88	3.0	264
91	3.021978021978022	275
90	3.022222222222222	272
91	3.021978021978022	275
89	3.0112359550561796	268
89	3.0112359550561796	268
88	3.0	264
88	3.0454545454545454	268
89	3.0112359550561796	268
92	3.0434782608695654	280
91	2.989010989010989	272
89	3.0	267
88	2.977272727272727	262
88	2.977272727272727	262
90	3.022222222222222	272
87	2.9885057471264367	260
88	3.0113636363636362	265
92	3.0543478260869565	281
93	2.978494623655914	277
88	3.022727272727273	266
92	3.032608695652174	279
93	3.032258064516129	282
91	2.989010989010989	272
83	3.036144578313253	252
91	3.021978021978022	275
92	3.010869565217391	277
89	3.044943820224719	271
88	3.090909090909091	272
89	3.067415730337079	273
87	3.0344827586206895	264
92	3.0	276
87	2.9885057471264367	260
85	3.023529411764706	257
90	3.0	270
90	2.977777777777778	268
91	3.032967032967033	276
88	3.022727272727273	266
89	3.0224719101123596	269
93	3.032258064516129	282
93	3.032258064516129	282
89	3.056179775280899	272
94	3.0	282
90	3.0	270
88	3.0	264
87	3.0114942528735633	262
87	3.0229885057471266	263
89	3.0112359550561796	268
90	3.011111111111111	271
92	3.0217391304347827	278
90	3.011111111111111	271
90	3.011111111111111	271
86	3.046511627906977	262
96	3.0	288
87	3.0114942528735633	262
88	3.034090909090909	267
92	3.032608695652174	279
93	3.053763440860215	284
88	3.0	264
91	3.021978021978022	275
88	3.0454545454545454	268
92	3.0543478260869565	281
89	2.9887640449438204	266
93	3.010752688172043	280
91	3.0549450549450547	278
89	3.1235955056179776	278
86	3.0232558139534884	260
87	3.0114942528735633	262
94	2.978723404255319	280
90	3.0	270
94	3.0106382978723403	283
90	3.011111111111111	271
91	3.043956043956044	277
88	3.0113636363636362	265
89	3.0	267
89	3.044943820224719	271
89	3.044943820224719	271
92	3.010869565217391	277
88	3.034090909090909	267
90	3.022222222222222	272
90	3.022222222222222	272
87	3.0114942528735633	262
90	2.988888888888889	269
89	2.9887640449438204	266
93	3.0	279
91	3.032967032967033	276
91	3.032967032967033	276
88	2.9886363636363638	263
88	3.0113636363636362	265
91	3.021978021978022	275
90	3.0	270
90	3.033333333333333	273
92	3.0217391304347827	278
89	3.0	267
90	3.033333333333333	273
90	3.088888888888889	278
89	3.0112359550561796	268
89	3.0	267
91	3.010989010989011	274
89	2.9775280898876404	265
89	3.033707865168539	270
90	3.0	270
92	3.0217391304347827	278
93	3.010752688172043	280
88	3.034090909090909	267
89	3.0224719101123596	269
88	3.034090909090909	267
94	3.0531914893617023	287
87	3.057471264367816	266
86	3.0232558139534884	260
88	3.022727272727273	266
89	3.044943820224719	271
89	3.0	267
94	3.0425531914893615	286
86	3.0232558139534884	260
90	3.022222222222222	272
92	3.0217391304347827	278
86	3.0	258
90	3.022222222222222	272
92	3.0217391304347827	278
86	3.046511627906977	262
88	3.022727272727273	266
89	3.0	267
88	3.0113636363636362	265
87	3.0229885057471266	263
89	3.0224719101123596	269
90	3.0	270
87	3.0114942528735633	262
90	3.022222222222222	272
93	3.032258064516129	282
