Lower Bound	Approximation	Operations
54	3.2037037037037037	173
57	3.175438596491228	181
49	3.183673469387755	156
56	3.1607142857142856	177
54	3.259259259259259	176
54	3.240740740740741	175
50	3.18	159
51	3.215686274509804	164
53	3.2830188679245285	174
52	3.2115384615384617	167
55	3.1636363636363636	174
53	3.150943396226415	167
52	3.2115384615384617	167
52	3.173076923076923	165
53	3.2830188679245285	174
53	3.2641509433962264	173
58	3.2413793103448274	188
55	3.290909090909091	181
54	3.2037037037037037	173
54	3.2037037037037037	173
52	3.230769230769231	168
55	3.1272727272727274	172
55	3.2363636363636363	178
53	3.207547169811321	170
52	3.1538461538461537	164
54	3.259259259259259	176
55	3.272727272727273	180
57	3.210526315789474	183
54	3.185185185185185	172
55	3.2545454545454544	179
54	3.240740740740741	175
55	3.1636363636363636	174
52	3.2115384615384617	167
57	3.210526315789474	183
56	3.142857142857143	176
51	3.1176470588235294	159
56	3.125	175
54	3.2222222222222223	174
55	3.2545454545454544	179
53	3.150943396226415	167
55	3.2	176
53	3.2264150943396226	171
54	3.2962962962962963	178
58	3.189655172413793	185
52	3.269230769230769	170
52	3.1923076923076925	166
54	3.185185185185185	172
54	3.259259259259259	176
57	3.245614035087719	185
54	3.240740740740741	175
55	3.1818181818181817	175
55	3.290909090909091	181
55	3.2363636363636363	178
55	3.2	176
53	3.2641509433962264	173
54	3.259259259259259	176
52	3.269230769230769	170
56	3.1607142857142856	177
53	3.2452830188679247	172
50	3.26	163
54	3.2037037037037037	173
54	3.185185185185185	172
57	3.280701754385965	187
56	3.2857142857142856	184
53	3.2264150943396226	171
56	3.1964285714285716	179
57	3.1403508771929824	179
52	3.25	169
56	3.1785714285714284	178
55	3.272727272727273	180
58	3.1724137931034484	184
55	3.2	176
53	3.2264150943396226	171
52	3.1923076923076925	166
51	3.215686274509804	164
54	3.2037037037037037	173
55	3.272727272727273	180
56	3.2142857142857144	180
52	3.230769230769231	168
51	3.235294117647059	165
54	3.185185185185185	172
52	3.2115384615384617	167
52	3.1346153846153846	163
58	3.189655172413793	185
57	3.2280701754385963	184
52	3.3461538461538463	174
54	3.240740740740741	175
57	3.210526315789474	183
51	3.176470588235294	162
54	3.2222222222222223	174
53	3.207547169811321	170
54	3.1481481481481484	170
54	3.2222222222222223	174
58	3.189655172413793	185
50	3.28	164
53	3.207547169811321	170
57	3.192982456140351	182
54	3.2037037037037037	173
54	3.259259259259259	176
52	3.25	169
54	3.240740740740741	175
52	3.269230769230769	170
53	3.188679245283019	169
54	3.185185185185185	172
54	3.2222222222222223	174
52	3.25	169
54	3.259259259259259	176
54	3.259259259259259	176
57	3.175438596491228	181
55	3.2181818181818183	177
56	3.1964285714285716	179
51	3.2745098039215685	167
54	3.2037037037037037	173
55	3.1818181818181817	175
54	3.1666666666666665	171
55	3.2	176
57	3.192982456140351	182
54	3.185185185185185	172
