Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
17	2.6470588235294117	45	30	15	0
19	2.8421052631578947	54	39	15	0
18	2.9444444444444446	53	36	17	0
17	3.0588235294117645	52	35	17	0
17	2.8823529411764706	49	37	11	1
17	2.823529411764706	48	33	14	1
17	2.9411764705882355	50	35	14	1
18	2.9444444444444446	53	36	15	2
18	2.9444444444444446	53	35	17	1
18	2.7222222222222223	49	36	13	0
18	2.888888888888889	52	34	17	1
16	2.8125	45	32	11	2
18	2.7222222222222223	49	34	15	0
15	2.933333333333333	44	31	13	0
17	2.764705882352941	47	34	13	0
18	3.0	54	36	18	0
18	3.111111111111111	56	39	17	0
17	2.7058823529411766	46	32	14	0
19	2.789473684210526	53	38	15	0
17	3.0588235294117645	52	39	12	1
17	2.9411764705882355	50	39	8	3
17	2.823529411764706	48	29	19	0
18	3.0555555555555554	55	37	17	1
18	2.8333333333333335	51	35	14	2
18	2.611111111111111	47	32	15	0
17	2.764705882352941	47	33	13	1
17	2.8823529411764706	49	35	13	1
18	2.6666666666666665	48	35	13	0
18	2.8333333333333335	51	35	16	0
18	2.7777777777777777	50	34	14	2
16	2.875	46	32	14	0
17	2.9411764705882355	50	34	16	0
17	2.823529411764706	48	35	13	0
16	2.9375	47	35	12	0
18	2.888888888888889	52	32	20	0
16	2.875	46	32	14	0
18	3.0	54	37	17	0
16	2.875	46	30	16	0
17	2.9411764705882355	50	34	15	1
18	3.0555555555555554	55	35	20	0
17	2.9411764705882355	50	31	19	0
19	2.9473684210526314	56	38	18	0
18	2.9444444444444446	53	35	18	0
20	2.65	53	35	18	0
17	2.8823529411764706	49	31	18	0
19	2.9473684210526314	56	40	16	0
19	2.8421052631578947	54	32	22	0
17	3.0588235294117645	52	39	13	0
18	2.7777777777777777	50	36	11	3
19	2.8421052631578947	54	38	16	0
17	2.9411764705882355	50	35	15	0
18	2.9444444444444446	53	36	16	1
18	2.8333333333333335	51	34	17	0
17	2.9411764705882355	50	34	16	0
17	2.823529411764706	48	33	14	1
14	3.0714285714285716	43	28	13	2
18	2.6666666666666665	48	32	16	0
18	3.0555555555555554	55	34	21	0
19	3.0	57	40	17	0
16	2.875	46	31	15	0
18	2.9444444444444446	53	41	11	1
16	2.75	44	32	11	1
19	3.0	57	38	19	0
18	2.9444444444444446	53	32	21	0
17	2.8823529411764706	49	30	19	0
19	2.9473684210526314	56	34	22	0
17	2.8823529411764706	49	32	17	0
19	2.8421052631578947	54	40	13	1
18	3.0555555555555554	55	35	19	1
19	2.8947368421052633	55	40	14	1
18	2.888888888888889	52	38	14	0
18	2.6666666666666665	48	32	16	0
17	2.9411764705882355	50	34	15	1
17	2.764705882352941	47	33	13	1
19	2.8421052631578947	54	34	20	0
18	2.9444444444444446	53	41	11	1
18	2.9444444444444446	53	36	17	0
19	2.8947368421052633	55	41	12	2
18	3.0	54	32	22	0
19	2.789473684210526	53	34	18	1
17	2.9411764705882355	50	31	19	0
18	2.7777777777777777	50	32	16	2
18	2.888888888888889	52	34	17	1
16	2.875	46	33	12	1
16	2.75	44	29	15	0
18	2.7222222222222223	49	33	16	0
18	2.9444444444444446	53	37	14	2
17	3.0	51	36	15	0
20	2.85	57	37	18	2
20	2.85	57	38	19	0
16	2.9375	47	32	13	2
17	2.9411764705882355	50	31	19	0
19	2.8421052631578947	54	37	17	0
16	2.8125	45	32	13	0
18	2.8333333333333335	51	33	18	0
19	2.736842105263158	52	34	18	0
18	2.9444444444444446	53	36	17	0
17	3.0	51	32	19	0
17	2.8823529411764706	49	33	16	0
16	3.0	48	30	18	0
17	2.764705882352941	47	30	17	0
19	2.789473684210526	53	34	19	0
18	2.8333333333333335	51	35	15	1
16	2.875	46	32	13	1
19	2.789473684210526	53	36	16	1
16	3.0	48	32	16	0
19	2.8947368421052633	55	37	18	0
19	2.8947368421052633	55	40	14	1
18	2.7777777777777777	50	34	16	0
17	2.823529411764706	48	32	16	0
18	2.9444444444444446	53	38	15	0
18	3.0	54	34	20	0
18	2.8333333333333335	51	34	17	0
17	2.8823529411764706	49	35	11	3
19	2.789473684210526	53	37	15	1
18	2.888888888888889	52	34	17	1
17	2.764705882352941	47	34	13	0
19	2.8421052631578947	54	35	19	0
17	2.764705882352941	47	32	14	1
19	2.789473684210526	53	37	16	0
18	2.888888888888889	52	35	15	2
17	2.764705882352941	47	31	16	0
18	2.8333333333333335	51	35	15	1
19	2.8947368421052633	55	38	16	1
18	2.888888888888889	52	37	15	0
17	3.0	51	33	18	0
19	3.0	57	40	17	0
19	2.789473684210526	53	37	16	0
17	2.9411764705882355	50	39	8	3
18	2.7777777777777777	50	30	20	0
17	2.823529411764706	48	32	16	0
17	2.8823529411764706	49	33	16	0
18	3.0	54	42	9	3
16	2.75	44	33	11	0
17	2.8823529411764706	49	34	14	1
17	2.7058823529411766	46	30	15	1
18	2.8333333333333335	51	35	16	0
18	2.7777777777777777	50	35	14	1
18	3.0555555555555554	55	41	13	1
17	2.823529411764706	48	36	10	2
18	2.7777777777777777	50	35	13	2
17	2.8823529411764706	49	36	13	0
19	2.736842105263158	52	35	17	0
17	2.8823529411764706	49	31	18	0
17	2.8823529411764706	49	38	10	1
18	2.8333333333333335	51	36	15	0
19	2.8947368421052633	55	33	22	0
16	2.875	46	32	14	0
17	3.0	51	36	13	2
14	2.857142857142857	40	25	15	0
16	2.875	46	31	10	5
19	2.8947368421052633	55	32	23	0
19	2.8947368421052633	55	38	17	0
19	2.789473684210526	53	38	15	0
18	3.0	54	35	19	0
18	2.888888888888889	52	35	16	1
17	2.764705882352941	47	34	12	1
17	2.9411764705882355	50	34	15	1
18	2.888888888888889	52	35	17	0
18	2.9444444444444446	53	35	17	1
16	2.875	46	28	18	0
18	2.7777777777777777	50	33	17	0
18	2.888888888888889	52	33	19	0
19	2.8947368421052633	55	38	17	0
18	2.8333333333333335	51	35	14	2
16	2.9375	47	32	15	0
18	2.8333333333333335	51	38	11	2
16	2.8125	45	30	15	0
17	3.0	51	33	15	3
19	3.0	57	37	20	0
19	2.736842105263158	52	34	18	0
15	2.8	42	27	15	0
15	2.933333333333333	44	31	13	0
16	2.75	44	28	15	1
17	2.8823529411764706	49	32	17	0
16	2.8125	45	32	13	0
15	2.8666666666666667	43	30	13	0
20	2.95	59	42	17	0
18	2.8333333333333335	51	32	18	1
17	2.7058823529411766	46	30	16	0
18	2.888888888888889	52	36	16	0
18	2.7777777777777777	50	31	19	0
17	2.8823529411764706	49	36	13	0
17	2.8823529411764706	49	37	11	1
18	3.0	54	37	17	0
17	2.9411764705882355	50	31	19	0
16	2.6875	43	28	14	1
18	3.0	54	34	20	0
18	2.6666666666666665	48	35	13	0
18	2.611111111111111	47	31	15	1
18	2.7222222222222223	49	32	17	0
17	2.7058823529411766	46	35	9	2
18	2.888888888888889	52	37	13	2
18	2.7222222222222223	49	35	14	0
18	2.611111111111111	47	36	11	0
16	2.875	46	30	16	0
18	2.6666666666666665	48	33	15	0
17	2.823529411764706	48	33	14	1
17	2.9411764705882355	50	33	16	1
19	2.8421052631578947	54	36	18	0
17	2.7058823529411766	46	36	9	1
17	2.9411764705882355	50	34	16	0
18	3.0555555555555554	55	34	21	0
18	2.9444444444444446	53	37	15	1
18	2.8333333333333335	51	33	18	0
19	2.789473684210526	53	38	15	0
17	2.9411764705882355	50	34	15	1
17	2.823529411764706	48	31	17	0
17	2.823529411764706	48	32	13	3
18	3.0555555555555554	55	36	18	1
17	2.8823529411764706	49	34	15	0
17	2.8823529411764706	49	36	12	1
18	2.7777777777777777	50	36	13	1
17	2.823529411764706	48	35	13	0
17	3.0	51	34	17	0
17	3.0	51	37	14	0
17	3.0	51	35	15	1
17	2.764705882352941	47	33	14	0
16	2.9375	47	31	16	0
