Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
38	3.0	114	65	49	0
35	2.9714285714285715	104	63	41	0
37	2.972972972972973	110	72	38	0
37	2.945945945945946	109	66	41	2
37	3.027027027027027	112	70	42	0
35	3.0	105	59	46	0
37	3.027027027027027	112	61	51	0
35	2.9714285714285715	104	57	47	0
36	3.0	108	61	47	0
35	2.9714285714285715	104	62	42	0
36	2.9722222222222223	107	63	44	0
36	3.111111111111111	112	64	48	0
36	3.0833333333333335	111	63	48	0
36	3.0277777777777777	109	62	47	0
35	3.0285714285714285	106	65	40	1
35	2.9714285714285715	104	59	45	0
36	3.0277777777777777	109	59	50	0
34	2.9411764705882355	100	59	41	0
35	2.9714285714285715	104	62	42	0
36	2.9722222222222223	107	66	41	0
34	3.0	102	62	40	0
33	3.0303030303030303	100	60	40	0
36	2.9722222222222223	107	59	48	0
37	3.027027027027027	112	63	49	0
36	3.0833333333333335	111	71	40	0
37	3.054054054054054	113	64	49	0
35	2.942857142857143	103	56	47	0
37	2.945945945945946	109	64	45	0
37	2.972972972972973	110	58	52	0
36	2.9722222222222223	107	58	49	0
36	3.0	108	66	42	0
35	2.942857142857143	103	61	42	0
35	3.0	105	60	44	1
35	2.914285714285714	102	58	44	0
35	3.142857142857143	110	70	40	0
35	3.0285714285714285	106	67	39	0
34	3.0294117647058822	103	60	42	1
38	3.0	114	66	48	0
36	3.0	108	63	45	0
36	3.111111111111111	112	69	43	0
38	3.0526315789473686	116	69	47	0
38	2.973684210526316	113	64	49	0
37	2.972972972972973	110	59	51	0
38	2.9473684210526314	112	65	45	2
35	2.9714285714285715	104	61	43	0
36	3.0	108	62	46	0
36	2.9722222222222223	107	67	40	0
34	3.0294117647058822	103	60	43	0
36	3.0555555555555554	110	62	48	0
35	2.9714285714285715	104	66	38	0
37	2.945945945945946	109	61	48	0
37	3.027027027027027	112	66	45	1
37	3.027027027027027	112	69	43	0
39	3.0256410256410255	118	79	39	0
36	2.9722222222222223	107	66	41	0
35	2.9714285714285715	104	64	40	0
37	3.027027027027027	112	69	42	1
36	3.0	108	62	46	0
35	2.914285714285714	102	61	41	0
34	2.9705882352941178	101	59	42	0
37	3.0	111	65	46	0
35	3.0285714285714285	106	58	48	0
36	2.9722222222222223	107	62	45	0
37	2.945945945945946	109	62	47	0
36	3.0	108	63	45	0
35	2.9714285714285715	104	64	40	0
37	2.972972972972973	110	63	47	0
38	2.973684210526316	113	74	37	2
36	2.9722222222222223	107	60	47	0
36	3.0277777777777777	109	63	46	0
37	3.0	111	62	49	0
38	3.026315789473684	115	69	46	0
38	2.973684210526316	113	63	50	0
37	3.027027027027027	112	67	45	0
37	2.972972972972973	110	64	46	0
39	2.9743589743589745	116	70	46	0
37	2.945945945945946	109	63	46	0
35	3.0	105	57	46	2
35	2.9714285714285715	104	58	46	0
36	3.0555555555555554	110	69	41	0
38	2.9210526315789473	111	70	38	3
35	2.942857142857143	103	53	50	0
37	2.972972972972973	110	65	45	0
37	2.945945945945946	109	71	38	0
34	3.0294117647058822	103	58	45	0
36	3.0	108	63	45	0
39	2.9743589743589745	116	71	45	0
