Lower Bound	Approximation	Operations
50	2.02	101
53	1.9811320754716981	105
50	2.0	100
55	2.0	110
52	2.019230769230769	105
57	1.9473684210526316	111
59	2.0338983050847457	120
53	2.018867924528302	107
55	1.981818181818182	109
53	2.018867924528302	107
54	2.0185185185185186	109
52	1.9807692307692308	103
55	1.981818181818182	109
54	1.962962962962963	106
53	1.9811320754716981	105
53	2.0	106
52	2.0384615384615383	106
56	2.0357142857142856	114
52	2.0384615384615383	106
54	1.962962962962963	106
51	2.0	102
51	2.019607843137255	103
54	2.0185185185185186	109
55	2.036363636363636	112
51	2.019607843137255	103
55	2.036363636363636	112
54	2.037037037037037	110
55	2.0	110
50	1.98	99
56	2.0	112
52	2.0384615384615383	106
51	2.019607843137255	103
55	1.9636363636363636	108
51	2.0	102
52	1.9807692307692308	103
54	2.0185185185185186	109
54	1.962962962962963	106
51	2.019607843137255	103
55	2.018181818181818	111
52	2.0	104
53	1.9622641509433962	104
50	2.02	101
51	2.0	102
55	1.981818181818182	109
53	2.018867924528302	107
55	2.0	110
57	2.0	114
51	2.019607843137255	103
57	2.0350877192982457	116
58	2.0	116
53	1.9811320754716981	105
52	2.0	104
52	1.9807692307692308	103
51	1.9803921568627452	101
53	1.9811320754716981	105
52	2.0	104
52	1.9615384615384615	102
51	1.9803921568627452	101
52	1.9807692307692308	103
53	2.018867924528302	107
50	1.98	99
54	2.037037037037037	110
56	2.0	112
50	2.02	101
49	1.9591836734693877	96
53	2.018867924528302	107
54	1.9814814814814814	107
55	2.0	110
50	2.0	100
55	2.0	110
56	2.0357142857142856	114
56	2.017857142857143	113
54	2.0185185185185186	109
52	1.9807692307692308	103
54	2.0	108
53	2.0	106
51	2.019607843137255	103
52	2.019230769230769	105
55	1.9636363636363636	108
53	2.0	106
53	2.0	106
52	2.019230769230769	105
53	2.0377358490566038	108
55	1.981818181818182	109
53	1.9811320754716981	105
51	1.9803921568627452	101
56	2.0	112
56	1.9821428571428572	111
53	1.9622641509433962	104
52	2.019230769230769	105
58	2.0	116
56	1.9642857142857142	110
55	1.9454545454545455	107
53	2.0	106
51	2.019607843137255	103
52	2.076923076923077	108
51	2.019607843137255	103
53	1.9622641509433962	104
55	2.0	110
51	2.019607843137255	103
51	1.9803921568627452	101
53	2.0	106
52	2.0	104
52	1.9615384615384615	102
53	2.0	106
52	2.0	104
50	2.02	101
51	2.0	102
52	2.0384615384615383	106
54	2.074074074074074	112
51	1.9215686274509804	98
52	2.0	104
53	2.0	106
54	1.9814814814814814	107
53	2.0	106
51	2.0	102
53	2.0	106
53	2.0	106
51	2.0392156862745097	104
50	1.98	99
51	2.019607843137255	103
53	2.018867924528302	107
51	2.0	102
55	1.981818181818182	109
51	1.9607843137254901	100
55	2.018181818181818	111
53	2.0	106
55	1.981818181818182	109
51	1.9607843137254901	100
52	1.9615384615384615	102
51	2.019607843137255	103
51	1.9803921568627452	101
54	2.0185185185185186	109
53	2.0	106
54	2.0185185185185186	109
52	2.0384615384615383	106
51	2.0392156862745097	104
55	2.0	110
53	2.0377358490566038	108
56	2.0357142857142856	114
52	2.019230769230769	105
52	2.0	104
51	1.9803921568627452	101
51	1.9607843137254901	100
52	1.9423076923076923	101
50	1.98	99
48	2.0208333333333335	97
52	1.9807692307692308	103
55	1.981818181818182	109
52	1.9807692307692308	103
54	2.0555555555555554	111
51	2.019607843137255	103
53	2.0	106
57	2.0350877192982457	116
55	1.981818181818182	109
53	2.018867924528302	107
56	2.0	112
