Lower Bound	Approximation	Operations
97	1.8453608247422681	179
100	1.84	184
97	1.8762886597938144	182
101	1.9306930693069306	195
93	1.8172043010752688	169
94	1.8936170212765957	178
97	1.8762886597938144	182
96	1.90625	183
94	1.925531914893617	181
95	1.831578947368421	174
97	1.9381443298969072	188
95	1.8842105263157896	179
98	1.846938775510204	181
99	1.898989898989899	188
97	1.8762886597938144	182
102	1.8725490196078431	191
96	1.9166666666666667	184
93	1.8602150537634408	173
99	1.8282828282828283	181
96	1.8854166666666667	181
94	1.8829787234042554	177
103	1.854368932038835	191
100	1.91	191
96	1.8854166666666667	181
97	1.824742268041237	177
96	1.8958333333333333	182
99	1.8181818181818181	180
95	1.9157894736842105	182
102	1.9313725490196079	197
91	1.8681318681318682	170
102	1.8725490196078431	191
96	1.875	180
98	1.8571428571428572	182
97	1.9175257731958764	186
94	1.8829787234042554	177
105	1.8476190476190477	194
96	1.8645833333333333	179
97	1.8762886597938144	182
97	1.8144329896907216	176
96	1.8958333333333333	182
96	1.8854166666666667	181
96	1.8541666666666667	178
98	1.8979591836734695	186
97	1.8865979381443299	183
99	1.898989898989899	188
95	1.9157894736842105	182
98	1.836734693877551	180
98	1.8775510204081634	184
102	1.8137254901960784	185
97	1.8969072164948453	184
98	1.8571428571428572	182
99	1.9090909090909092	189
94	1.8404255319148937	173
100	1.83	183
98	1.816326530612245	178
94	1.8936170212765957	178
94	1.9042553191489362	179
101	1.811881188118812	183
93	1.8279569892473118	170
102	1.7941176470588236	183
100	1.83	183
96	1.9270833333333333	185
97	1.9175257731958764	186
99	1.8585858585858586	184
96	1.8645833333333333	179
92	1.891304347826087	174
96	1.8541666666666667	178
95	1.8736842105263158	178
99	1.8888888888888888	187
99	1.8888888888888888	187
102	1.8333333333333333	187
97	1.9690721649484537	191
103	1.9514563106796117	201
99	1.878787878787879	186
103	1.912621359223301	197
95	1.8736842105263158	178
99	1.9494949494949494	193
95	1.9789473684210526	188
95	1.8526315789473684	176
101	1.8514851485148516	187
100	1.88	188
98	1.8979591836734695	186
90	1.8777777777777778	169
98	1.846938775510204	181
94	1.9361702127659575	182
96	1.9375	186
96	1.84375	177
101	1.9306930693069306	195
100	1.86	186
98	1.8775510204081634	184
99	1.9191919191919191	190
98	1.846938775510204	181
97	1.8453608247422681	179
95	1.8736842105263158	178
94	1.9042553191489362	179
97	1.8969072164948453	184
95	1.8526315789473684	176
95	1.8736842105263158	178
100	1.84	184
94	1.9148936170212767	180
102	1.8627450980392157	190
98	1.8673469387755102	183
97	1.824742268041237	177
99	1.8686868686868687	185
96	1.8229166666666667	175
102	1.8725490196078431	191
97	1.9175257731958764	186
96	1.84375	177
96	1.8645833333333333	179
94	1.9148936170212767	180
91	1.901098901098901	173
97	1.907216494845361	185
95	1.831578947368421	174
100	1.84	184
100	1.84	184
97	1.8453608247422681	179
97	1.824742268041237	177
99	1.9191919191919191	190
97	1.9175257731958764	186
94	1.872340425531915	176
94	1.8829787234042554	177
100	1.85	185
100	1.78	178
98	1.8979591836734695	186
100	1.87	187
101	1.891089108910891	191
100	1.87	187
97	1.824742268041237	177
104	1.875	195
98	1.8775510204081634	184
94	1.9042553191489362	179
97	1.8556701030927836	180
99	1.9595959595959596	194
99	1.8484848484848484	183
95	1.9052631578947368	181
101	1.8613861386138615	188
94	1.8829787234042554	177
98	1.846938775510204	181
98	1.8877551020408163	185
97	1.865979381443299	181
95	1.8526315789473684	176
98	1.9183673469387754	188
96	1.90625	183
100	1.86	186
98	1.846938775510204	181
100	1.84	184
95	1.9157894736842105	182
100	1.88	188
97	1.8865979381443299	183
99	1.8686868686868687	185
99	1.8484848484848484	183
94	1.8936170212765957	178
102	1.8627450980392157	190
99	1.878787878787879	186
99	1.9090909090909092	189
98	1.9591836734693877	192
95	1.9052631578947368	181
98	1.8775510204081634	184
101	1.891089108910891	191
97	1.824742268041237	177
99	1.8686868686868687	185
103	1.8058252427184467	186
92	1.8043478260869565	166
94	1.9042553191489362	179
91	1.9120879120879122	174
98	1.846938775510204	181
104	1.8557692307692308	193
102	1.8627450980392157	190
93	1.903225806451613	177
99	1.8585858585858586	184
90	1.9	171
97	1.9896907216494846	193
101	1.891089108910891	191
99	1.9090909090909092	189
93	1.881720430107527	175
98	1.8877551020408163	185
100	1.9	190
96	1.78125	171
100	1.87	187
96	1.8854166666666667	181
95	1.8631578947368421	177
102	1.8529411764705883	189
94	1.851063829787234	174
100	1.86	186
93	1.913978494623656	178
97	1.8350515463917525	178
95	1.9052631578947368	181
101	1.881188118811881	190
95	1.894736842105263	180
94	1.925531914893617	181
99	1.8888888888888888	187
100	1.86	186
95	1.894736842105263	180
99	1.8484848484848484	183
100	1.91	191
100	1.96	196
93	1.903225806451613	177
95	1.9157894736842105	182
97	1.8556701030927836	180
98	1.8571428571428572	182
100	1.83	183
93	1.924731182795699	179
94	1.925531914893617	181
96	1.9166666666666667	184
98	1.8673469387755102	183
93	1.946236559139785	181
99	1.898989898989899	188
94	1.8829787234042554	177
98	1.8877551020408163	185
92	1.891304347826087	174
97	1.8969072164948453	184
96	1.8229166666666667	175
95	1.8631578947368421	177
99	1.8383838383838385	182
97	1.907216494845361	185
97	1.8556701030927836	180
97	1.8453608247422681	179
97	1.8453608247422681	179
93	1.913978494623656	178
96	1.875	180
97	1.9381443298969072	188
99	1.898989898989899	188
101	1.900990099009901	192
100	1.87	187
94	1.8297872340425532	172
93	1.903225806451613	177
102	1.8431372549019607	188
103	1.8737864077669903	193
105	1.8761904761904762	197
93	1.8709677419354838	174
97	1.9175257731958764	186
96	1.9166666666666667	184
99	1.8080808080808082	179
93	1.8709677419354838	174
99	1.8383838383838385	182
101	1.9108910891089108	193
97	1.8144329896907216	176
95	1.8842105263157896	179
93	1.935483870967742	180
96	1.84375	177
99	1.8282828282828283	181
101	1.801980198019802	182
99	1.8585858585858586	184
99	1.8888888888888888	187
98	1.8571428571428572	182
96	1.8541666666666667	178
96	1.8333333333333333	176
92	1.8804347826086956	173
94	1.946808510638298	183
95	1.9052631578947368	181
99	1.8484848484848484	183
99	1.8383838383838385	182
101	1.8613861386138615	188
94	1.9148936170212767	180
99	1.8282828282828283	181
89	1.853932584269663	165
97	1.9175257731958764	186
98	1.8571428571428572	182
96	1.8645833333333333	179
95	1.8421052631578947	175
98	1.8673469387755102	183
94	1.8936170212765957	178
101	1.8712871287128714	189
94	1.8829787234042554	177
98	1.8571428571428572	182
99	1.878787878787879	186
98	1.9285714285714286	189
99	1.8888888888888888	187
98	1.8775510204081634	184
94	1.8829787234042554	177
97	1.8762886597938144	182
95	1.894736842105263	180
98	1.846938775510204	181
96	1.90625	183
95	1.894736842105263	180
97	1.8969072164948453	184
98	1.9081632653061225	187
93	1.8494623655913978	172
96	1.8645833333333333	179
99	1.8484848484848484	183
98	1.8571428571428572	182
100	1.9	190
97	1.8556701030927836	180
98	1.8571428571428572	182
95	1.9473684210526316	185
96	1.8854166666666667	181
91	1.901098901098901	173
96	1.875	180
95	1.8842105263157896	179
96	1.875	180
100	1.85	185
93	1.8172043010752688	169
92	1.891304347826087	174
96	1.875	180
97	1.907216494845361	185
102	1.8823529411764706	192
95	1.8631578947368421	177
96	1.875	180
96	1.9375	186
97	1.865979381443299	181
95	1.894736842105263	180
100	1.9	190
96	1.90625	183
96	1.8645833333333333	179
95	1.9263157894736842	183
99	1.8282828282828283	181
97	1.907216494845361	185
98	1.846938775510204	181
93	1.89247311827957	176
93	1.8709677419354838	174
101	1.8712871287128714	189
96	1.8541666666666667	178
97	1.8041237113402062	175
95	1.8526315789473684	176
97	1.8865979381443299	183
98	1.8571428571428572	182
95	1.8736842105263158	178
95	1.9263157894736842	183
100	1.83	183
102	1.8333333333333333	187
94	1.8829787234042554	177
102	1.911764705882353	195
93	1.881720430107527	175
92	1.8478260869565217	170
98	1.8673469387755102	183
94	1.9148936170212767	180
98	1.9387755102040816	190
99	1.898989898989899	188
101	1.881188118811881	190
100	1.86	186
101	1.8712871287128714	189
98	1.9489795918367347	191
100	1.83	183
97	1.8762886597938144	182
99	1.9494949494949494	193
102	1.892156862745098	193
96	1.84375	177
97	1.824742268041237	177
94	1.872340425531915	176
98	1.846938775510204	181
99	1.878787878787879	186
94	1.925531914893617	181
97	1.8969072164948453	184
99	1.8888888888888888	187
98	1.8673469387755102	183
96	1.8541666666666667	178
100	1.89	189
99	1.8585858585858586	184
100	1.86	186
96	1.875	180
95	1.831578947368421	174
96	1.8229166666666667	175
100	1.91	191
100	1.88	188
95	1.9263157894736842	183
94	1.9361702127659575	182
96	1.8958333333333333	182
92	1.9021739130434783	175
98	1.8673469387755102	183
95	1.831578947368421	174
99	1.9090909090909092	189
93	1.8494623655913978	172
97	1.8865979381443299	183
95	1.936842105263158	184
101	1.8415841584158417	186
101	1.8712871287128714	189
94	1.8297872340425532	172
99	1.8484848484848484	183
98	1.8265306122448979	179
93	1.8709677419354838	174
96	1.90625	183
95	1.831578947368421	174
102	1.8823529411764706	192
97	1.8453608247422681	179
97	1.8865979381443299	183
95	1.8631578947368421	177
102	1.8529411764705883	189
103	1.825242718446602	188
100	1.86	186
98	1.8571428571428572	182
97	1.907216494845361	185
97	1.8865979381443299	183
97	1.9690721649484537	191
97	1.8453608247422681	179
94	1.9042553191489362	179
105	1.8095238095238095	190
99	1.7878787878787878	177
99	1.898989898989899	188
89	1.8876404494382022	168
101	1.881188118811881	190
96	1.8854166666666667	181
100	1.88	188
102	1.9019607843137254	194
96	1.875	180
93	1.8709677419354838	174
93	1.8602150537634408	173
99	1.9090909090909092	189
94	1.9042553191489362	179
97	1.9175257731958764	186
93	1.913978494623656	178
95	1.8526315789473684	176
105	1.8571428571428572	195
93	1.881720430107527	175
95	1.8736842105263158	178
98	1.8979591836734695	186
96	1.9375	186
99	1.8888888888888888	187
98	1.8877551020408163	185
97	1.8762886597938144	182
99	1.898989898989899	188
99	1.9090909090909092	189
96	1.8854166666666667	181
99	1.8888888888888888	187
103	1.8155339805825244	187
97	1.8350515463917525	178
93	1.903225806451613	177
93	1.903225806451613	177
93	1.913978494623656	178
99	1.8585858585858586	184
99	1.8888888888888888	187
98	1.8673469387755102	183
102	1.892156862745098	193
95	1.9263157894736842	183
96	1.90625	183
99	1.898989898989899	188
93	1.881720430107527	175
96	1.84375	177
94	1.8829787234042554	177
96	1.9375	186
95	1.894736842105263	180
92	1.858695652173913	171
91	1.934065934065934	176
97	1.865979381443299	181
100	1.83	183
98	1.8673469387755102	183
100	1.84	184
97	1.9175257731958764	186
92	1.891304347826087	174
102	1.8823529411764706	192
102	1.8529411764705883	189
104	1.8461538461538463	192
105	1.8857142857142857	198
99	1.8282828282828283	181
96	1.9375	186
96	1.96875	189
101	1.891089108910891	191
101	1.8613861386138615	188
100	1.86	186
98	1.8775510204081634	184
94	1.8936170212765957	178
93	1.89247311827957	176
101	1.881188118811881	190
96	1.9166666666666667	184
97	1.8762886597938144	182
100	1.83	183
89	1.898876404494382	169
95	1.8421052631578947	175
97	1.9175257731958764	186
97	1.8556701030927836	180
102	1.7647058823529411	180
97	1.8453608247422681	179
98	1.8979591836734695	186
100	1.88	188
96	1.8541666666666667	178
101	1.891089108910891	191
96	1.875	180
97	1.8350515463917525	178
101	1.8613861386138615	188
102	1.8137254901960784	185
94	1.9148936170212767	180
94	1.872340425531915	176
102	1.8431372549019607	188
100	1.86	186
99	1.8181818181818181	180
96	1.8333333333333333	176
97	1.9278350515463918	187
98	1.8673469387755102	183
97	1.8865979381443299	183
95	1.8842105263157896	179
100	1.85	185
96	1.9166666666666667	184
97	1.8762886597938144	182
97	1.8762886597938144	182
101	1.891089108910891	191
102	1.8137254901960784	185
94	1.872340425531915	176
102	1.892156862745098	193
103	1.8737864077669903	193
100	1.83	183
94	1.8617021276595744	175
98	1.8061224489795917	177
95	1.9052631578947368	181
101	1.8415841584158417	186
93	1.924731182795699	179
98	1.8673469387755102	183
101	1.891089108910891	191
99	1.8585858585858586	184
101	1.9108910891089108	193
99	1.8585858585858586	184
98	1.8775510204081634	184
95	1.9052631578947368	181
96	1.9270833333333333	185
94	1.8404255319148937	173
98	1.9183673469387754	188
97	1.8556701030927836	180
95	1.8842105263157896	179
96	1.8854166666666667	181
93	1.913978494623656	178
100	1.87	187
100	1.89	189
92	1.923913043478261	177
98	1.8265306122448979	179
97	1.8556701030927836	180
99	1.8585858585858586	184
100	1.89	189
96	1.90625	183
101	1.8514851485148516	187
95	1.8842105263157896	179
96	1.8333333333333333	176
98	1.8571428571428572	182
99	1.9292929292929293	191
92	1.8695652173913044	172
90	1.8777777777777778	169
99	1.8585858585858586	184
98	1.8571428571428572	182
88	1.8636363636363635	164
88	1.8522727272727273	163
103	1.8737864077669903	193
91	1.901098901098901	173
97	1.9278350515463918	187
90	1.9555555555555555	176
95	1.8736842105263158	178
97	1.865979381443299	181
101	1.900990099009901	192
96	1.8645833333333333	179
101	1.8415841584158417	186
99	1.8585858585858586	184
92	1.9565217391304348	180
92	1.826086956521739	168
100	1.91	191
98	1.8979591836734695	186
93	1.881720430107527	175
97	1.8350515463917525	178
95	1.8526315789473684	176
95	1.936842105263158	184
98	1.9183673469387754	188
93	1.881720430107527	175
98	1.8979591836734695	186
98	1.9285714285714286	189
100	1.85	185
95	1.9052631578947368	181
100	1.92	192
97	1.907216494845361	185
99	1.9191919191919191	190
98	1.8877551020408163	185
102	1.892156862745098	193
102	1.892156862745098	193
92	1.934782608695652	178
101	1.811881188118812	183
99	1.9090909090909092	189
99	1.8686868686868687	185
98	1.8877551020408163	185
99	1.8484848484848484	183
93	1.8172043010752688	169
99	1.9191919191919191	190
89	1.9101123595505618	170
94	1.9361702127659575	182
105	1.819047619047619	191
94	1.872340425531915	176
95	1.8631578947368421	177
96	1.8854166666666667	181
97	1.8556701030927836	180
97	1.865979381443299	181
95	1.9157894736842105	182
94	1.9148936170212767	180
96	1.8854166666666667	181
98	1.7857142857142858	175
100	1.8	180
100	1.9	190
100	1.84	184
100	1.85	185
94	1.8404255319148937	173
96	1.90625	183
99	1.8282828282828283	181
98	1.8979591836734695	186
100	1.83	183
100	1.94	194
98	1.9387755102040816	190
99	1.8888888888888888	187
93	1.8602150537634408	173
101	1.881188118811881	190
97	1.8969072164948453	184
98	1.8775510204081634	184
101	1.8514851485148516	187
96	1.8229166666666667	175
98	1.8571428571428572	182
93	1.8602150537634408	173
96	1.84375	177
96	1.9166666666666667	184
96	1.8854166666666667	181
100	1.84	184
94	1.872340425531915	176
98	1.8877551020408163	185
100	1.84	184
92	1.858695652173913	171
95	1.894736842105263	180
97	1.8453608247422681	179
100	1.9	190
95	1.936842105263158	184
95	1.8526315789473684	176
99	1.878787878787879	186
99	1.8686868686868687	185
97	1.8969072164948453	184
93	1.8494623655913978	172
102	1.8431372549019607	188
92	1.9456521739130435	179
103	1.8932038834951457	195
100	1.85	185
89	1.9887640449438202	177
97	1.8762886597938144	182
96	1.8333333333333333	176
98	1.7857142857142858	175
95	1.8736842105263158	178
96	1.8541666666666667	178
97	1.9278350515463918	187
92	1.8478260869565217	170
94	1.8404255319148937	173
97	1.8453608247422681	179
97	1.8865979381443299	183
102	1.8627450980392157	190
97	1.958762886597938	190
98	1.8775510204081634	184
99	1.8585858585858586	184
99	1.878787878787879	186
102	1.8823529411764706	192
98	1.846938775510204	181
98	1.9081632653061225	187
94	1.8617021276595744	175
101	1.891089108910891	191
97	1.9175257731958764	186
101	1.8316831683168318	185
100	1.87	187
90	1.8444444444444446	166
97	1.8969072164948453	184
91	1.901098901098901	173
96	1.9270833333333333	185
101	1.8217821782178218	184
97	1.8762886597938144	182
96	1.84375	177
99	1.8888888888888888	187
