Lower Bound	Approximation	Operations
98	3.020408163265306	296
93	2.924731182795699	272
94	3.0106382978723403	283
99	2.9797979797979797	295
94	2.9893617021276597	281
100	2.92	292
100	2.97	297
98	2.989795918367347	293
98	2.979591836734694	292
97	3.0309278350515463	294
96	3.0104166666666665	289
96	3.0416666666666665	292
97	2.948453608247423	286
97	3.0103092783505154	292
98	3.0	294
101	3.00990099009901	304
101	2.98019801980198	301
98	3.020408163265306	296
99	2.9797979797979797	295
102	2.9901960784313726	305
100	2.98	298
99	2.98989898989899	296
99	3.01010101010101	298
101	2.99009900990099	302
99	2.9494949494949494	292
102	3.0294117647058822	309
100	2.99	299
95	2.9789473684210526	283
97	2.979381443298969	289
98	2.989795918367347	293
95	2.968421052631579	282
96	3.0208333333333335	290
103	2.9902912621359223	308
101	2.9702970297029703	300
101	2.98019801980198	301
97	2.9896907216494846	290
99	3.0202020202020203	299
96	2.9895833333333335	287
96	2.9791666666666665	286
96	3.0	288
92	2.967391304347826	273
95	2.9894736842105263	284
96	2.9791666666666665	286
92	2.9347826086956523	270
98	2.9693877551020407	291
98	2.9489795918367347	289
99	2.9494949494949494	292
96	3.0104166666666665	289
98	2.989795918367347	293
99	2.95959595959596	293
97	2.9690721649484537	288
96	2.9895833333333335	287
93	3.043010752688172	283
96	3.0104166666666665	289
97	2.979381443298969	289
102	2.9215686274509802	298
100	3.03	303
100	2.91	291
96	3.0520833333333335	293
101	2.98019801980198	301
97	2.9896907216494846	290
98	2.989795918367347	293
95	2.968421052631579	282
93	2.989247311827957	278
98	3.010204081632653	295
102	3.0294117647058822	309
98	2.989795918367347	293
101	2.98019801980198	301
98	2.9285714285714284	287
97	2.9690721649484537	288
94	3.0638297872340425	288
102	2.950980392156863	301
96	3.0104166666666665	289
98	2.979591836734694	292
97	3.0	291
104	2.9134615384615383	303
102	2.911764705882353	297
96	2.96875	285
98	3.010204081632653	295
100	2.97	297
102	2.9411764705882355	300
99	2.95959595959596	293
101	2.9603960396039604	299
98	2.9591836734693877	290
99	2.9797979797979797	295
102	2.9607843137254903	302
94	2.9468085106382977	277
98	2.979591836734694	292
100	2.98	298
99	2.95959595959596	293
102	2.950980392156863	301
99	3.0	297
99	3.01010101010101	298
103	2.9611650485436893	305
100	2.94	294
104	2.9038461538461537	302
100	2.97	297
97	2.9896907216494846	290
97	3.020618556701031	293
95	2.957894736842105	281
101	2.9702970297029703	300
98	3.010204081632653	295
95	3.0105263157894737	286
97	2.9690721649484537	288
97	3.0103092783505154	292
97	2.979381443298969	289
98	2.989795918367347	293
100	2.99	299
100	3.02	302
97	3.0412371134020617	295
99	3.0202020202020203	299
99	3.01010101010101	298
104	2.9711538461538463	309
103	2.9805825242718447	307
100	2.97	297
96	2.9895833333333335	287
102	2.950980392156863	301
102	2.9705882352941178	303
96	2.9791666666666665	286
101	2.9702970297029703	300
102	2.980392156862745	304
100	3.01	301
97	2.979381443298969	289
103	2.970873786407767	306
95	3.0842105263157893	293
98	2.9591836734693877	290
102	2.9705882352941178	303
102	3.019607843137255	308
100	2.99	299
106	2.9339622641509435	311
102	3.0098039215686274	307
98	3.0	294
97	3.0	291
102	2.9313725490196076	299
92	2.967391304347826	273
101	3.0	303
97	3.0	291
97	3.0	291
103	3.0	309
102	2.980392156862745	304
100	3.07	307
100	2.96	296
99	3.0	297
101	2.9702970297029703	300
100	2.93	293
98	2.979591836734694	292
99	2.9696969696969697	294
100	2.99	299
95	3.042105263157895	289
98	2.9489795918367347	289
99	2.9696969696969697	294
99	2.9696969696969697	294
92	3.032608695652174	279
101	2.9702970297029703	300
100	2.92	292
100	3.03	303
102	2.9705882352941178	303
101	3.00990099009901	304
94	3.0531914893617023	287
93	3.0	279
101	2.9207920792079207	295
97	3.0103092783505154	292
102	2.950980392156863	301
97	2.979381443298969	289
98	2.9489795918367347	289
100	2.96	296
99	3.0707070707070705	304
98	2.9285714285714284	287
102	2.9411764705882355	300
99	3.0	297
100	2.98	298
94	3.021276595744681	284
96	2.9270833333333335	281
96	2.9479166666666665	283
99	2.9696969696969697	294
98	3.0	294
95	2.9473684210526314	280
97	3.0309278350515463	294
101	2.99009900990099	302
102	2.950980392156863	301
99	2.98989898989899	296
98	3.010204081632653	295
104	3.0384615384615383	316
99	2.98989898989899	296
102	2.9313725490196076	299
96	2.96875	285
96	2.9895833333333335	287
99	2.9696969696969697	294
95	3.0105263157894737	286
98	3.020408163265306	296
100	2.94	294
100	3.02	302
95	3.0	285
99	2.9797979797979797	295
99	2.98989898989899	296
96	3.0104166666666665	289
100	2.99	299
95	3.0210526315789474	287
102	2.980392156862745	304
98	3.0	294
101	2.9504950495049505	298
102	3.0098039215686274	307
99	2.9696969696969697	294
95	2.9473684210526314	280
101	2.9603960396039604	299
99	2.9797979797979797	295
101	3.0297029702970297	306
99	3.0303030303030303	300
95	2.9894736842105263	284
102	3.019607843137255	308
100	2.98	298
101	3.01980198019802	305
99	2.9696969696969697	294
100	2.98	298
98	2.979591836734694	292
101	3.0	303
97	2.979381443298969	289
102	2.9607843137254903	302
102	3.0098039215686274	307
100	3.01	301
97	3.0	291
94	3.021276595744681	284
93	3.021505376344086	281
100	3.0	300
99	2.98989898989899	296
96	3.0208333333333335	290
96	2.9479166666666665	283
97	3.0103092783505154	292
101	2.98019801980198	301
96	3.0104166666666665	289
99	2.9797979797979797	295
97	2.948453608247423	286
96	3.0416666666666665	292
97	3.0103092783505154	292
96	2.9479166666666665	283
98	2.9591836734693877	290
96	3.0	288
99	3.0	297
100	2.99	299
97	3.0	291
98	3.020408163265306	296
95	2.9894736842105263	284
93	3.010752688172043	280
93	3.021505376344086	281
99	2.9797979797979797	295
94	2.9893617021276597	281
94	3.074468085106383	289
99	2.9494949494949494	292
95	3.0210526315789474	287
98	3.020408163265306	296
94	2.9574468085106385	278
97	2.9690721649484537	288
97	2.979381443298969	289
99	3.0	297
97	3.020618556701031	293
100	2.97	297
98	2.9693877551020407	291
96	3.0104166666666665	289
97	2.979381443298969	289
97	2.9896907216494846	290
96	2.9791666666666665	286
101	3.00990099009901	304
101	2.9504950495049505	298
101	2.9504950495049505	298
96	2.9270833333333335	281
99	2.9797979797979797	295
100	2.96	296
94	2.9574468085106385	278
100	2.97	297
101	2.9702970297029703	300
103	3.0097087378640777	310
100	2.98	298
97	2.9587628865979383	287
101	3.0396039603960396	307
97	2.9896907216494846	290
94	2.9893617021276597	281
100	3.0	300
