Lower Bound	Approximation	Operations
161	3.0248447204968945	487
162	3.067901234567901	497
162	3.04320987654321	493
164	3.018292682926829	495
156	3.051282051282051	476
161	3.0683229813664594	494
166	2.9879518072289155	496
164	3.024390243902439	496
162	3.0308641975308643	491
162	3.0	486
163	3.0122699386503067	491
163	3.0552147239263805	498
159	2.981132075471698	474
160	3.03125	485
163	3.0122699386503067	491
163	3.01840490797546	492
163	3.03680981595092	495
164	3.042682926829268	499
162	3.0308641975308643	491
156	3.051282051282051	476
163	3.01840490797546	492
163	3.0061349693251533	490
161	3.0248447204968945	487
164	3.042682926829268	499
158	3.0253164556962027	478
160	3.00625	481
163	3.0122699386503067	491
162	3.0246913580246915	490
160	3.025	484
159	3.0	477
166	3.0542168674698793	507
162	3.0308641975308643	491
163	3.0306748466257667	494
160	3.0375	486
160	3.01875	483
159	3.0440251572327046	484
162	3.0246913580246915	490
167	3.0179640718562872	504
166	3.0180722891566263	501
163	3.0245398773006134	493
159	3.0377358490566038	483
164	3.0121951219512195	494
160	3.05625	489
161	3.049689440993789	491
161	2.9937888198757765	482
166	3.0180722891566263	501
161	3.0248447204968945	487
166	3.036144578313253	504
160	3.01875	483
159	3.0377358490566038	483
159	3.050314465408805	485
166	3.0240963855421685	502
161	3.049689440993789	491
162	3.037037037037037	492
164	3.018292682926829	495
162	3.0246913580246915	490
164	3.024390243902439	496
159	3.0377358490566038	483
162	3.006172839506173	487
157	3.050955414012739	479
165	3.018181818181818	498
166	3.0240963855421685	502
163	3.01840490797546	492
160	3.0125	482
166	3.0180722891566263	501
157	3.0127388535031847	473
164	3.0548780487804876	501
159	3.018867924528302	480
167	3.0419161676646707	508
159	3.0314465408805034	482
165	3.0242424242424244	499
163	3.01840490797546	492
162	3.0308641975308643	491
162	3.04320987654321	493
162	3.0246913580246915	490
161	2.9937888198757765	482
163	3.0245398773006134	493
160	3.01875	483
163	3.0061349693251533	490
160	3.025	484
161	3.0434782608695654	490
163	3.01840490797546	492
165	3.036363636363636	501
163	3.049079754601227	497
160	3.06875	491
165	3.012121212121212	497
158	3.018987341772152	477
158	3.0126582278481013	476
161	3.0	483
166	3.0120481927710845	500
165	3.0242424242424244	499
158	3.0063291139240507	475
164	3.0	492
161	3.031055900621118	488
165	3.0242424242424244	499
166	3.0301204819277108	503
163	3.03680981595092	495
164	3.0121951219512195	494
161	3.012422360248447	485
161	3.062111801242236	493
162	3.037037037037037	492
161	3.0248447204968945	487
168	3.0357142857142856	510
162	3.0246913580246915	490
158	3.018987341772152	477
159	3.018867924528302	480
162	3.0123456790123457	488
160	3.00625	481
163	3.042944785276074	496
167	2.9940119760479043	500
162	3.0308641975308643	491
162	3.037037037037037	492
155	3.0129032258064514	467
166	3.0120481927710845	500
167	3.0419161676646707	508
163	3.0245398773006134	493
160	3.0125	482
167	3.0119760479041915	503
165	3.006060606060606	496
162	3.04320987654321	493
164	3.042682926829268	499
160	3.00625	481
161	3.018633540372671	486
159	3.0251572327044025	481
163	3.0061349693251533	490
164	3.0365853658536586	498
166	3.0180722891566263	501
163	3.03680981595092	495
158	3.0316455696202533	479
163	3.0245398773006134	493
163	3.01840490797546	492
159	3.018867924528302	480
159	3.050314465408805	485
161	3.0434782608695654	490
159	3.0125786163522013	479
163	3.0306748466257667	494
165	3.0303030303030303	500
161	3.0062111801242235	484
166	3.0542168674698793	507
163	3.0	489
160	3.0125	482
164	3.0304878048780486	497
157	3.031847133757962	476
161	3.018633540372671	486
168	3.0238095238095237	508
160	3.00625	481
160	3.04375	487
166	3.0180722891566263	501
161	3.0434782608695654	490
166	3.0542168674698793	507
156	3.032051282051282	473
163	3.0245398773006134	493
161	3.012422360248447	485
159	3.018867924528302	480
165	3.012121212121212	497
164	3.042682926829268	499
162	3.049382716049383	494
162	3.0123456790123457	488
162	3.04320987654321	493
162	3.037037037037037	492
160	3.03125	485
165	3.0242424242424244	499
