Lower Bound	Approximation	Operations
71	3.23943661971831	230
75	3.24	243
76	3.1315789473684212	238
77	3.168831168831169	244
73	3.1095890410958904	227
75	3.1466666666666665	236
73	3.219178082191781	235
73	3.219178082191781	235
74	3.1486486486486487	233
74	3.2027027027027026	237
73	3.1780821917808217	232
72	3.2083333333333335	231
78	3.2051282051282053	250
75	3.2133333333333334	241
71	3.267605633802817	232
73	3.2054794520547945	234
71	3.2535211267605635	231
73	3.232876712328767	236
75	3.24	243
72	3.1527777777777777	227
73	3.1780821917808217	232
71	3.211267605633803	228
70	3.3142857142857145	232
77	3.090909090909091	238
71	3.183098591549296	226
72	3.25	234
71	3.183098591549296	226
72	3.2083333333333335	231
74	3.2432432432432434	240
74	3.2162162162162162	238
76	3.1973684210526314	243
75	3.2533333333333334	244
74	3.189189189189189	236
73	3.164383561643836	231
74	3.2027027027027026	237
74	3.3378378378378377	247
77	3.220779220779221	248
70	3.242857142857143	227
73	3.1780821917808217	232
74	3.1486486486486487	233
73	3.1780821917808217	232
75	3.1733333333333333	238
77	3.25974025974026	251
74	3.22972972972973	239
70	3.2714285714285714	229
73	3.232876712328767	236
74	3.2567567567567566	241
74	3.2972972972972974	244
74	3.1621621621621623	234
72	3.2222222222222223	232
72	3.1805555555555554	229
75	3.2	240
73	3.1780821917808217	232
75	3.2	240
75	3.2266666666666666	242
72	3.1944444444444446	230
75	3.2133333333333334	241
72	3.1666666666666665	228
75	3.2533333333333334	244
73	3.164383561643836	231
73	3.219178082191781	235
76	3.210526315789474	244
72	3.1805555555555554	229
73	3.2054794520547945	234
74	3.2432432432432434	240
75	3.24	243
71	3.2253521126760565	229
73	3.26027397260274	238
72	3.25	234
72	3.1944444444444446	230
74	3.189189189189189	236
75	3.28	246
71	3.2535211267605635	231
71	3.183098591549296	226
73	3.2054794520547945	234
72	3.236111111111111	233
71	3.211267605633803	228
72	3.1944444444444446	230
72	3.2222222222222223	232
70	3.3142857142857145	232
71	3.2535211267605635	231
72	3.263888888888889	235
73	3.1506849315068495	230
71	3.2253521126760565	229
70	3.2285714285714286	226
71	3.140845070422535	223
73	3.1780821917808217	232
72	3.1805555555555554	229
79	3.1645569620253164	250
70	3.2	224
75	3.1466666666666665	236
72	3.2777777777777777	236
73	3.1780821917808217	232
75	3.16	237
70	3.2142857142857144	225
72	3.236111111111111	233
76	3.289473684210526	250
72	3.2083333333333335	231
74	3.189189189189189	236
73	3.232876712328767	236
72	3.1944444444444446	230
74	3.1486486486486487	233
72	3.236111111111111	233
74	3.22972972972973	239
73	3.2465753424657535	237
73	3.26027397260274	238
74	3.2567567567567566	241
73	3.219178082191781	235
73	3.219178082191781	235
76	3.236842105263158	246
73	3.2054794520547945	234
72	3.2083333333333335	231
74	3.175675675675676	235
74	3.2027027027027026	237
73	3.191780821917808	233
75	3.2533333333333334	244
72	3.1944444444444446	230
73	3.232876712328767	236
73	3.2054794520547945	234
76	3.1973684210526314	243
75	3.16	237
71	3.2253521126760565	229
76	3.1973684210526314	243
77	3.155844155844156	243
73	3.164383561643836	231
73	3.2054794520547945	234
72	3.2222222222222223	232
74	3.2027027027027026	237
77	3.103896103896104	239
72	3.1805555555555554	229
72	3.1944444444444446	230
70	3.2714285714285714	229
71	3.23943661971831	230
73	3.191780821917808	233
70	3.3	231
74	3.2162162162162162	238
74	3.27027027027027	242
72	3.1944444444444446	230
75	3.2533333333333334	244
75	3.2266666666666666	242
76	3.210526315789474	244
75	3.2	240
78	3.1923076923076925	249
73	3.1232876712328768	228
72	3.1805555555555554	229
75	3.2	240
73	3.2739726027397262	239
74	3.2162162162162162	238
74	3.2567567567567566	241
75	3.2266666666666666	242
74	3.175675675675676	235
73	3.1780821917808217	232
74	3.175675675675676	235
74	3.189189189189189	236
74	3.2162162162162162	238
72	3.236111111111111	233
74	3.175675675675676	235
71	3.211267605633803	228
71	3.2253521126760565	229
74	3.1486486486486487	233
71	3.183098591549296	226
74	3.2432432432432434	240
71	3.2535211267605635	231
73	3.1506849315068495	230
72	3.25	234
71	3.183098591549296	226
74	3.2567567567567566	241
74	3.2432432432432434	240
78	3.2435897435897436	253
70	3.257142857142857	228
74	3.22972972972973	239
76	3.1447368421052633	239
68	3.1470588235294117	214
74	3.2837837837837838	243
75	3.2533333333333334	244
76	3.223684210526316	245
73	3.232876712328767	236
73	3.2465753424657535	237
75	3.2533333333333334	244
76	3.210526315789474	244
72	3.1944444444444446	230
73	3.191780821917808	233
70	3.242857142857143	227
71	3.211267605633803	228
75	3.1733333333333333	238
70	3.157142857142857	221
71	3.211267605633803	228
70	3.2142857142857144	225
75	3.16	237
72	3.25	234
70	3.2285714285714286	226
70	3.2285714285714286	226
75	3.2933333333333334	247
71	3.1267605633802815	222
73	3.232876712328767	236
74	3.2162162162162162	238
72	3.1944444444444446	230
73	3.191780821917808	233
74	3.1621621621621623	234
73	3.164383561643836	231
75	3.1466666666666665	236
74	3.2432432432432434	240
74	3.2162162162162162	238
73	3.219178082191781	235
74	3.2027027027027026	237
71	3.211267605633803	228
75	3.24	243
71	3.1549295774647885	224
74	3.1621621621621623	234
74	3.175675675675676	235
74	3.27027027027027	242
77	3.2337662337662336	249
75	3.1466666666666665	236
74	3.2432432432432434	240
72	3.263888888888889	235
74	3.2162162162162162	238
74	3.175675675675676	235
70	3.1857142857142855	223
74	3.2567567567567566	241
71	3.295774647887324	234
73	3.2054794520547945	234
74	3.2027027027027026	237
76	3.1842105263157894	242
75	3.1866666666666665	239
73	3.191780821917808	233
71	3.211267605633803	228
73	3.2054794520547945	234
75	3.2266666666666666	242
74	3.135135135135135	232
73	3.328767123287671	243
71	3.140845070422535	223
72	3.2222222222222223	232
73	3.232876712328767	236
74	3.2027027027027026	237
70	3.2	224
73	3.1506849315068495	230
75	3.28	246
