Lower Bound	Approximation	Operations
10	2.9	29
8	3.25	26
9	2.888888888888889	26
10	3.2	32
9	3.0	27
10	3.1	31
9	2.888888888888889	26
9	3.0	27
8	2.75	22
9	3.2222222222222223	29
8	3.125	25
10	2.8	28
9	2.7777777777777777	25
10	3.2	32
9	3.0	27
8	3.0	24
9	2.888888888888889	26
10	2.9	29
8	2.75	22
10	3.1	31
9	3.0	27
10	3.0	30
10	3.1	31
10	2.9	29
9	2.888888888888889	26
9	3.0	27
8	3.0	24
9	3.0	27
10	3.1	31
10	3.0	30
10	3.1	31
10	2.8	28
9	3.111111111111111	28
10	2.9	29
10	3.0	30
11	2.909090909090909	32
11	2.909090909090909	32
9	3.111111111111111	28
10	2.9	29
10	3.2	32
9	2.888888888888889	26
8	3.0	24
9	2.888888888888889	26
10	2.8	28
10	3.0	30
9	2.888888888888889	26
10	3.0	30
10	2.8	28
9	3.0	27
9	2.888888888888889	26
10	2.9	29
9	3.0	27
10	2.9	29
10	2.7	27
9	3.0	27
10	3.1	31
9	3.111111111111111	28
8	3.0	24
9	3.0	27
10	2.9	29
9	2.7777777777777777	25
9	3.111111111111111	28
10	3.1	31
11	2.8181818181818183	31
10	2.9	29
9	2.888888888888889	26
10	2.9	29
9	3.111111111111111	28
8	3.0	24
9	3.0	27
11	2.8181818181818183	31
10	2.9	29
10	3.0	30
9	3.3333333333333335	30
8	3.125	25
9	3.0	27
10	3.1	31
9	3.0	27
9	3.0	27
9	3.2222222222222223	29
9	3.111111111111111	28
8	3.125	25
9	2.888888888888889	26
10	2.9	29
9	2.888888888888889	26
9	3.0	27
9	3.111111111111111	28
9	3.111111111111111	28
9	2.7777777777777777	25
9	2.7777777777777777	25
9	3.0	27
10	2.8	28
10	2.9	29
10	3.0	30
9	3.111111111111111	28
10	3.0	30
9	3.111111111111111	28
9	3.0	27
10	2.9	29
9	3.111111111111111	28
8	2.75	22
10	2.8	28
10	3.0	30
8	2.875	23
10	2.9	29
9	3.0	27
9	3.111111111111111	28
9	3.0	27
10	2.9	29
10	3.0	30
9	3.111111111111111	28
9	3.111111111111111	28
10	3.0	30
9	3.0	27
10	3.0	30
9	2.888888888888889	26
10	3.0	30
11	3.1818181818181817	35
9	2.888888888888889	26
9	2.888888888888889	26
9	3.0	27
10	2.8	28
9	2.7777777777777777	25
9	3.0	27
11	2.8181818181818183	31
10	3.2	32
8	3.0	24
9	3.0	27
9	3.0	27
10	2.8	28
10	3.0	30
9	2.6666666666666665	24
9	3.0	27
9	3.111111111111111	28
9	3.2222222222222223	29
10	2.9	29
10	3.1	31
10	2.9	29
9	3.111111111111111	28
9	2.7777777777777777	25
10	2.8	28
10	2.8	28
11	3.0	33
10	3.1	31
9	3.111111111111111	28
9	3.0	27
9	3.111111111111111	28
10	2.9	29
8	3.0	24
9	3.0	27
9	3.111111111111111	28
9	2.888888888888889	26
9	2.888888888888889	26
9	3.0	27
8	3.375	27
10	2.9	29
9	2.888888888888889	26
9	2.7777777777777777	25
9	3.0	27
9	3.0	27
9	3.0	27
9	3.0	27
10	3.0	30
11	3.0	33
9	2.888888888888889	26
11	2.8181818181818183	31
10	2.9	29
9	3.111111111111111	28
9	2.888888888888889	26
10	3.0	30
9	2.888888888888889	26
10	3.0	30
10	2.8	28
9	3.0	27
8	2.875	23
9	3.0	27
10	3.0	30
10	3.0	30
10	2.9	29
9	3.2222222222222223	29
8	3.0	24
9	2.7777777777777777	25
9	3.111111111111111	28
9	2.7777777777777777	25
10	3.1	31
10	3.0	30
9	3.111111111111111	28
9	3.0	27
10	2.8	28
10	3.2	32
9	3.2222222222222223	29
9	3.0	27
8	3.0	24
9	3.0	27
9	2.7777777777777777	25
9	3.3333333333333335	30
9	2.888888888888889	26
10	2.9	29
9	2.888888888888889	26
10	3.1	31
10	3.0	30
10	2.7	27
11	3.090909090909091	34
9	3.0	27
9	3.0	27
9	3.0	27
11	2.909090909090909	32
9	3.111111111111111	28
8	3.125	25
10	2.7	27
11	2.727272727272727	30
10	2.9	29
10	2.9	29
12	2.8333333333333335	34
8	3.0	24
9	3.0	27
10	3.1	31
10	3.3	33
10	2.9	29
9	2.888888888888889	26
8	3.0	24
11	3.0	33
9	3.0	27
10	2.9	29
9	2.888888888888889	26
9	3.0	27
10	2.9	29
9	3.0	27
9	2.7777777777777777	25
8	3.125	25
10	3.0	30
10	3.0	30
10	2.9	29
9	3.0	27
9	3.0	27
